sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
DD-DD13-TURBO-001,DD13 Turbocharger Assembly,Detroit Diesel,"DD13",engine,turbocharger,280000,
DD-DD13-INJECTOR-001,DD13 Fuel Injector,Detroit Diesel,"DD13",fuel_system,fuel_injector,45000,
DD-DD13-INJECTOR-002,DD13 Injector Cup,Detroit Diesel,"DD13",fuel_system,injector_cup,8500,
DD-DD13-EGRCOOLER-001,DD13 EGR Cooler,Detroit Diesel,"DD13",exhaust,egr,180000,
DD-DD13-EGRVALVE-001,DD13 EGR Valve,Detroit Diesel,"DD13",exhaust,egr,12500,
DD-DD13-DPDFILTER-001,DD13 DPF Filter,Detroit Diesel,"DD13",exhaust,dpf,65000,
DD-DD13-OILPAN-001,DD13 Oil Pan Gasket,Detroit Diesel,"DD13",engine,gasket,2800,
DD-DD13-HEADGASKET-001,DD13 Cylinder Head Gasket Set,Detroit Diesel,"DD13",engine,gasket,32000,
DD-DD13-CAMSHAFT-001,DD13 Camshaft Follower,Detroit Diesel,"DD13",engine,valve_train,4200,
DD-DD13-WATERPUMP-001,DD13 Water Pump,Detroit Diesel,"DD13",cooling,water_pump,38000,
DD-DD13-THERMO-001,DD13 Thermostat,Detroit Diesel,"DD13",cooling,thermostat,1800,
DD-DD13-RADCAP-001,DD13 Radiator Cap,Detroit Diesel,"DD13",cooling,radiator,450,
DD-DD13-FUELFILT-001,DD13 Fuel Filter Primary,Detroit Diesel,"DD13",filter,fuel_filter,3200,
DD-DD13-FUELFILT-002,DD13 Fuel Filter Secondary,Detroit Diesel,"DD13",filter,fuel_filter,2800,
DD-DD13-OILFILT-001,DD13 Oil Filter,Detroit Diesel,"DD13",filter,oil_filter,2400,
DD-DD15-TURBO-001,DD15 Turbocharger Assembly,Detroit Diesel,"DD15",engine,turbocharger,310000,
DD-DD15-INJECTOR-001,DD15 Fuel Injector,Detroit Diesel,"DD15",fuel_system,fuel_injector,52000,
DD-DD15-EGRCOOLER-001,DD15 EGR Cooler,Detroit Diesel,"DD15",exhaust,egr,195000,
DD-DD15-EGRVALVE-001,DD15 EGR Valve,Detroit Diesel,"DD15",exhaust,egr,14800,
DD-DD15-DPDFILTER-001,DD15 DPF Filter,Detroit Diesel,"DD15",exhaust,dpf,72000,
DD-DD15-HEADGASKET-001,DD15 Cylinder Head Gasket Set,Detroit Diesel,"DD15",engine,gasket,38000,
DD-DD15-WATERPUMP-001,DD15 Water Pump,Detroit Diesel,"DD15",cooling,water_pump,42000,
DD-DD15-OILFILT-001,DD15 Oil Filter,Detroit Diesel,"DD15",filter,oil_filter,2600,
DD-DD15-AIRFILT-001,DD15 Air Filter,Detroit Diesel,"DD15",filter,air_filter,5800,
DD-DD16-TURBO-001,DD16 Turbocharger,Detroit Diesel,"DD16",engine,turbocharger,340000,
DD-DD16-INJECTOR-001,DD16 Fuel Injector,Detroit Diesel,"DD16",fuel_system,fuel_injector,58000,
DD-DD16-DPDFILTER-001,DD16 DPF Filter,Detroit Diesel,"DD16",exhaust,dpf,78000,
