sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
FL-CASC-DOORMIRROR,Freightliner Cascadia Door Mirror Assembly,Freightliner,"Cascadia",cabin,mirror,22000,
FL-CASC-DOORHANDLE,Cascadia Exterior Door Handle,Freightliner,"Cascadia",cabin,door,3800,
FL-CASC-DOORHINGE,Cascadia Door Hinge (pair),Freightliner,"Cascadia",cabin,door,5500,
FL-CASC-BUMPERFRNT,Cascadia Front Bumper Cover,Freightliner,"Cascadia",body,bumper,38000,
FL-CASC-HOOD,Cascadia Hood Assembly,Freightliner,"Cascadia",body,hood,75000,
FL-CASC-HOODLATC,Cascadia Hood Latch,Freightliner,"Cascadia",body,latch,2800,
FL-CASC-WINDSHIELD,Cascadia Windshield,Freightliner,"Cascadia",cabin,glass,38000,
FL-CASC-WIPERBLADE,Cascadia Wiper Blade (pair),Freightliner,"Cascadia",cabin,wiper,4200,
FL-CASC-WIPERMOTOR,Cascadia Wiper Motor,Freightliner,"Cascadia",electrical,motor,18000,
FL-CASC-WIRING-MAIN,Cascadia Main Wiring Harness,Freightliner,"Cascadia",electrical,harness,48000,
FL-CASC-WIRING-DASH,Cascadia Dash Wiring Harness,Freightliner,"Cascadia",electrical,harness,22000,
FL-CASC-BATTERYCABLE,Cascadia Battery Cable Set,Freightliner,"Cascadia",electrical,cable,8500,
FL-CASC-BATTERY,Cascadia Battery 12V Group 31,Freightliner,"Cascadia",electrical,battery,28000,
FL-CASC-FUSEPANEL,Cascadia Fuse Panel Module,Freightliner,"Cascadia",electrical,fuse,15000,
FL-CASC-HEADSPCR,Cascadia Headlight Spacer Kit,Freightliner,"Cascadia",electrical,headlight,4500,
FL-CASC-HEADLTLLED,Cascadia LED Headlight Assembly,Freightliner,"Cascadia",electrical,headlight,42000,
FL-CASC-TAILLIGHTLED,Cascadia LED Taillight Assembly,Freightliner,"Cascadia",electrical,taillight,32000,
