sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
PB-389-HOOD,Peterbilt 389 Hood Assembly,Peterbilt,"389",body,hood,88000,
PB-389-HOODLATC,Peterbilt 389 Hood Latch Kit,Peterbilt,"389",body,latch,3200,
PB-389-BUMPER,Peterbilt 389 Front Bumper Chrome,Peterbilt,"389",body,bumper,42000,
PB-389-FENDER-FR,Peterbilt 389 Front Fender (each),Peterbilt,"389",body,fender,22000,
PB-389-STEPLINER,Peterbilt 389 Step Liner Kit,Peterbilt,"389",body,step,6500,
PB-389-MUDFLAP,Peterbilt 389 Mud Flap Kit,Peterbilt,"389",body,mud_flap,4800,
PB-389-SIDEEXTEND,Peterbilt 389 Side Fairing Extension,Peterbilt,"389",body,fairing,18000,
PB-389-WINDSHIELD,Peterbilt 389 Windshield,Peterbilt,"389",cabin,glass,42000,
PB-389-DOORMIR,Peterbilt 389 Door Mirror (each),Peterbilt,"389",cabin,mirror,24000,
PB-389-SEATDRV,Peterbilt 389 Driver Air Seat,Peterbilt,"389",cabin,seat,88000,
PB-389-SEATPASS,Peterbilt 389 Passenger Seat,Peterbilt,"389",cabin,seat,58000,
PB-389-SLEEPMATTR,Peterbilt 389 Sleeper Mattress,Peterbilt,"389",cabin,sleeper,32000,
PB-389-DASH,Peterbilt 389 Dashboard Panel,Peterbilt,"389",cabin,dash,35000,
PB-389-STEERWHL,Peterbilt 389 Steering Wheel,Peterbilt,"389",cabin,steering,22000,
PB-389-INSTCLSTR,Peterbilt 389 Instrument Cluster,Peterbilt,"389",electrical,cluster,72000,
PB-389-HEADLTLED,Peterbilt 389 LED Headlight,Peterbilt,"389",electrical,headlight,48000,
PB-389-TAILLLED,Peterbilt 389 LED Taillight,Peterbilt,"389",electrical,taillight,35000,
PB-389-MARKER,Peterbilt 389 Marker Light Kit,Peterbilt,"389",electrical,marker_light,2200,
PB-389-BATTERY,Peterbilt 389 Battery 12V,Peterbilt,"389",electrical,battery,29000,
PB-389-ALTRNTR,Peterbilt 389 Alternator,Peterbilt,"389",electrical,alternator,60000,
PB-389-STARTER,Peterbilt 389 Starter Motor,Peterbilt,"389",electrical,starter,44000,
PB-389-WIRINGHRNS,Peterbilt 389 Main Wiring Harness,Peterbilt,"389",electrical,harness,52000,
PB-389-FUELTANK,Peterbilt 389 Aluminum Fuel Tank 100gal,Peterbilt,"389",fuel_system,tank,52000,
PB-389-FUELCAP,Peterbilt 389 Fuel Cap,Peterbilt,"389",fuel_system,cap,1400,
PB-389-AIRSUSPBAG,Peterbilt 389 Air Bag (each),Peterbilt,"389",suspension,air_bag,22000,
PB-389-SHOCKABSR,Peterbilt 389 Shock Absorber,Peterbilt,"389",suspension,shock,25000,
PB-389-KINGPIN,Peterbilt 389 King Pin Kit,Peterbilt,"389",suspension,king_pin,30000,
PB-389-TIEROD,Peterbilt 389 Tie Rod End,Peterbilt,"389",suspension,tie_rod,9200,
PB-389-BRAKESHOE,Peterbilt 389 Brake Shoe Set,Peterbilt,"389",brake,brake_shoe,19000,
PB-389-BRAKCHAM,Peterbilt 389 Brake Chamber,Peterbilt,"389",brake,chamber,13000,
PB-389-SLACKADJ,Peterbilt 389 Slack Adjuster,Peterbilt,"389",brake,slack_adjuster,9000,
PB-389-HUBUNIT,Peterbilt 389 Hub Assembly,Peterbilt,"389",tire,hub,50000,
PB-389-LUGHNUT,Peterbilt 389 Lug Nut Kit,Peterbilt,"389",tire,lug,3500,
PB-579-HOOD,Peterbilt 579 Hood Assembly,Peterbilt,"579",body,hood,78000,
PB-579-BUMPER,Peterbilt 579 Front Bumper,Peterbilt,"579",body,bumper,35000,
PB-579-WINDSHIELD,Peterbilt 579 Windshield,Peterbilt,"579",cabin,glass,40000,
PB-579-HEADLT,Peterbilt 579 Headlight Assembly,Peterbilt,"579",electrical,headlight,44000,
PB-579-SEATDRV,Peterbilt 579 Driver Seat,Peterbilt,"579",cabin,seat,82000,
PB-579-INSTCLSTR,Peterbilt 579 Instrument Panel,Peterbilt,"579",electrical,cluster,68000,
PB-579-FUELTANK,Peterbilt 579 Fuel Tank 100gal,Peterbilt,"579",fuel_system,tank,50000,
PB-COMMON-FIFTHWHL,Peterbilt Fifth Wheel Assembly,Peterbilt,"389,579",body,fifth_wheel,42000,
PB-COMMON-EXHASTSTACK,Peterbilt Exhaust Stack,Peterbilt,"389,579",exhaust,stack,40000,
PB-COMMON-AIRDRYER,Peterbilt Air Dryer,Peterbilt,"389,579",suspension,air,24000,
PB-COMMON-OILSAE,SAE 15W-40 Oil (1gal),Peterbilt,"389,579",fluid,oil,1900,
PB-COMMON-COOLANT,Coolant Pre-mixed 1gal,Peterbilt,"389,579",fluid,coolant,2400,
PB-COMMON-DEFFLUID,DEF Fluid 2.5gal,Peterbilt,"389,579",fluid,def,2600,
PB-COMMON-OILFILT,Oil Filter Peterbilt,Peterbilt,"389,579",filter,oil_filter,2800,
PB-COMMON-AIRFILT,Air Filter Peterbilt,Peterbilt,"389,579",filter,air_filter,6000,
PB-COMMON-FUELFILT,Fuel Filter Kit Peterbilt,Peterbilt,"389,579",filter,fuel_filter,5500,
PB-COMMON-MUDFLAP,Mud Flap Kit Peterbilt,Peterbilt,"389,579",body,mud_flap,5000,
