State,Variant A,n A,Variant B,n B,Similarity
AL,PATTVILLE,2,PRATVILLE,1,0.889
AL,TOMASVILLE,2,THOMASVILLE,2,0.952
AR,FORT SMITH,39,FT SMITH,17,0.889
AR,RUSSELLVILLE,3,RUSSELVILLE,3,0.957
AR,RUSSELLVILLE,3,RUSSELLLVILLE,2,0.96
AR,RUSSELVILLE,3,RUSSELLLVILLE,2,0.917
CO,PLATEVILLE,1,PLATTEVILLE,1,0.952
CT,EAST HATFORD,1,EAST HARTFORD,1,0.96
FL,PALMETTO,2,PALMETO,1,0.933
FL,FT PIERCE,1,FORT PIERCE,1,0.9
GA,LA GRANGE,7,LAGRANGE,7,0.941
GA,ELLABEL,1,ELLABELL,1,0.933
IL,MONMOUTH,34,MOUNMOUTH,26,0.941
IL,BALVIDERE,7,BELVIDERE,4,0.889
IL,EAST CHICAGO,2,WEST CHICAGO,1,0.917
IL,UNIVERSITYPK,2,UNIVRSTY PK,1,0.87
IL,UNIVERSTY PARK,1,UNIVRSTY PK,1,0.88
KY,ENLANGER,1,ERLANGER,1,0.875
KY,INDEPENDENCE,1,INDEPENDANCE,1,0.917
LA,AVE SHREVEPORT,1,AVE SHREVEORT,1,0.963
MA,WILMINGTON,2,WILLMINGTON,1,0.952
MD,HAGERSTOWN,2,HARGERSTOWN,1,0.952
ME,SCARBROUGH,2,SCARBOROUGH,1,0.952
MI,PAW PAW,1,PA PAW,1,0.923
MN,VADNAIS HEIGHTS,1,VADNAIS HEIGHTSMN,1,0.938
MO,ST LOUIS,3,ST. LOUIS,2,0.941
NC,TARHEEL,50,TAR HEEL,18,0.933
NC,BROWNS SUMMIT,3,BROWN SUMMIT,2,0.96
NC,GASTONIA,2,GASTONI,1,0.933
NC,WHITSETT,2,WHITSET,1,0.933
NJ,VINELAND,50,VIENLAND,28,0.875
NJ,CARLSTAD,8,CARLSTADT,3,0.941
NJ,NORHTVALE,1,NORTHVALE,1,0.889
NJ,NORTH BRUNSWICK,1,SOUTH BRUNSWICK,1,0.867
NY,WILLIAMSON,3,WILLIMASON,2,0.9
NY,HAUPAUGUE,1,HAUUPAUGE,1,0.889
OH,MINSTER,2,MINISTER,1,0.933
OH,HOLIDAY CY,1,HOLIDAY CITY,1,0.909
OH,MONTEPELIER,1,MONTPELIER,1,0.952
OK,OWASSO,1,OWASO,1,0.909
PA,BREININGSVILLE,7,BREINIGSVILLE,3,0.963
PA,HAZELTON,4,HAZLETON,3,0.875
PA,MCCONNELLSBURG,4,MC CONNELLSBURG,2,0.966
PA,JOHNSTOWN,2,JOHNSTON,1,0.941
PA,DUBOIS,2,DU BOIS,1,0.923
SC,BYTHEWOOD,1,BLYTHEWOOD,1,0.947
TX,FORTH WORTH,79,FORT WORTH,40,0.952
TX,CARROLLTON,13,CARROLTON,6,0.947
TX,COPPEL,2,COPPELL,1,0.923
TX,LAREDP,2,LARED,1,0.909
TX,PITTSBURG,1,PITSSBURG,1,0.889
TX,HOSUTON,1,HOSTON,1,0.923
TX,DESOTO,1,DE SOTO,1,0.923
TX,JEFERSON,1,JEFFERSON,1,0.941
TX,WASKOM,1,WASKO,1,0.909
TX,MT. PLEASANT,1,MT PLEASANT,1,0.957
TX,WHTESBORO,1,WHITESBORO,1,0.947
TX,RIVERA,1,RIVIERA,1,0.923
UT,CEDAR CITU,3,CEDAR CITY,2,0.9
VA,MT CRAWFORD,2,MOUNT CRAWFORD,1,0.88
VA,HARRISONBURG,1,HARRISONBURNG,1,0.96
WI,WISCONSIN RAPIDS,6,WISCONSIN RAPID,3,0.968
WI,BEAVER DAM,1,BEAVER DAMN,1,0.952
