origin_city,origin_state,origin_postal_code,dest_city,dest_state,dest_postal_code,practical_miles,short_miles,empty_miles,n_practical,n_short,practical_min,practical_max,practical_spread,short_min,short_max,trust_level,source,first_seen,last_seen
PHENIX CITY,AL,,LAREDO,TX,,1065.8,1324.1,292.2,368.0,358,1065.8,1108.0,42.2,1120.8,1751.7,check_zip,history,2020-12-18,2024-08-29
LAREDO,TX,,HAUPPAUGE,NY,,2032.5,1958.1,0.0,277.0,263,1889.5,2039.8,150.3,1958.1,2097.2,check_zip,history,2022-12-02,2026-05-08
SIOUX CITY,IA,,LAREDO,TX,,1164.8,1447.4,295.6,176.0,169,1164.8,1407.5,242.7,1147.5,2176.1,check_zip,history,2020-12-14,2026-02-10
LAREDO,TX,,EDISON,NJ,,1958.9,1881.1,0.0,160.0,155,1953.9,1961.2,7.3,1880.3,2421.6,high,history,2024-09-26,2026-08-18
LAREDO,TX,,RIDGEWOOD,NY,,1997.7,1934.6,0.0,136.0,135,1992.7,2091.0,98.3,1934.6,2019.5,check_zip,history,2021-10-29,2024-03-28
RICHLAND,WA,,LAREDO,TX,,2136.9,2234.7,240.1,122.0,121,2114.3,2142.6,28.3,1999.8,2713.2,check_zip,history,2021-12-22,2025-12-20
LAREDO,TX,,CHICAGO,IL,,1353.7,1339.1,0.0,122.0,118,1329.1,1680.3,351.2,1320.5,1718.2,check_zip,history,2021-08-03,2026-07-28
NUEVO LAREDO,TA,,HAINES,FL,,1324.2,1287.4,0.0,108.0,105,1324.2,1332.9,8.7,1287.4,1296.1,high,history,2021-02-22,2023-01-27
LAREDO,TX,,DETROIT,MI,,1619.6,1576.0,0.0,105.0,95,1611.5,1749.7,138.2,1561.5,1855.7,check_zip,history,2023-06-23,2026-02-25
LAREDO,TX,,ATLANTA,GA,,1140.9,1122.5,0.0,87.0,85,1129.8,1210.0,80.2,1102.2,1175.4,check_zip,history,2020-11-27,2025-11-19
LOGANSPORT,IN,,LAREDO,TX,,1404.6,1492.1,156.5,86.0,82,1395.8,1422.0,26.2,1411.0,2144.0,check_zip,history,2020-07-24,2026-07-24
LAREDO,TX,,FRANKLIN PARK,IL,,1354.3,1349.5,0.0,86.0,84,1353.7,1413.3,59.6,1339.0,1349.5,check_zip,history,2022-04-01,2026-02-24
WACO,TX,,LAREDO,TX,,340.8,433.6,100.2,84.0,83,334.0,346.3,12.3,342.4,804.5,high,history,2021-07-22,2026-02-19
LAREDO,TX,,WOODBURN,IN,,1470.2,1411.9,0.0,82.0,79,1381.0,1473.4,92.4,1333.5,1428.1,check_zip,history,2020-08-24,2025-03-06
DODGE CITY,KS,,LAREDO,TX,,871.0,1123.7,367.9,81.0,81,871.0,1246.7,375.7,1006.3,1717.4,check_zip,history,2022-01-25,2025-12-18
NUEVO LAREDO,TA,,ROCKY HILL,CT,,2085.9,2029.8,0.0,75.0,73,2085.9,2191.8,105.9,1710.9,2144.8,check_zip,history,2021-04-01,2024-10-14
