customer_code,customer_name,billing_email,billing_phone,mc_number,dot_number,billing_address_line1,billing_city,billing_state,billing_postal_code
TRK-CUST-001,Customer Co A1,broker-1@example.invalid,555-2001,MC-00001,00000001,100 Supply Row,Austin,TX,78701
TRK-CUST-002,Customer Co B2,broker-2@example.invalid,555-2002,MC-00002,00000002,200 Supply Row,Austin,TX,78701
TRK-CUST-003,Customer Co C3,broker-3@example.invalid,555-2003,MC-00003,00000003,300 Supply Row,Austin,TX,78701
TRK-CUST-004,Customer Co D4,broker-4@example.invalid,555-2004,MC-00004,00000004,400 Supply Row,Austin,TX,78701
TRK-CUST-005,Customer Co E5,broker-5@example.invalid,555-2005,MC-00005,00000005,500 Supply Row,Austin,TX,78701
TRK-CUST-006,Customer Co F6,broker-6@example.invalid,555-2006,MC-00006,00000006,600 Supply Row,Austin,TX,78701
TRK-CUST-007,Customer Co G7,broker-7@example.invalid,555-2007,MC-00007,00000007,700 Supply Row,Austin,TX,78701
TRK-CUST-008,Customer Co H8,broker-8@example.invalid,555-2008,MC-00008,00000008,800 Supply Row,Austin,TX,78701
TRK-CUST-009,Customer Co I9,broker-9@example.invalid,555-2009,MC-00009,00000009,900 Supply Row,Austin,TX,78701
TRK-CUST-010,Customer Co J10,broker-10@example.invalid,555-2010,MC-00010,00000010,1000 Supply Row,Austin,TX,78701
TRK-CUST-011,Customer Co K11,broker-11@example.invalid,555-2011,MC-00011,00000011,1100 Supply Row,Austin,TX,78701
TRK-CUST-012,Customer Co L12,broker-12@example.invalid,555-2012,MC-00012,00000012,1200 Supply Row,Austin,TX,78701
TRK-CUST-013,Customer Co M13,broker-13@example.invalid,555-2013,MC-00013,00000013,1300 Supply Row,Austin,TX,78701
TRK-CUST-014,Customer Co N14,broker-14@example.invalid,555-2014,MC-00014,00000014,1400 Supply Row,Austin,TX,78701
TRK-CUST-015,Customer Co O15,broker-15@example.invalid,555-2015,MC-00015,00000015,1500 Supply Row,Austin,TX,78701
TRK-CUST-016,Customer Co P16,broker-16@example.invalid,555-2016,MC-00016,00000016,1600 Supply Row,Austin,TX,78701
TRK-CUST-017,Customer Co Q17,broker-17@example.invalid,555-2017,MC-00017,00000017,1700 Supply Row,Austin,TX,78701
TRK-CUST-018,Customer Co R18,broker-18@example.invalid,555-2018,MC-00018,00000018,1800 Supply Row,Austin,TX,78701
TRK-CUST-019,Customer Co S19,broker-19@example.invalid,555-2019,MC-00019,00000019,1900 Supply Row,Austin,TX,78701
TRK-CUST-020,Customer Co T20,broker-20@example.invalid,555-2020,MC-00020,00000020,2000 Supply Row,Austin,TX,78701
TRK-CUST-021,Customer Co U21,broker-21@example.invalid,555-2021,MC-00021,00000021,2100 Supply Row,Austin,TX,78701
TRK-CUST-022,Customer Co V22,broker-22@example.invalid,555-2022,MC-00022,00000022,2200 Supply Row,Austin,TX,78701
TRK-CUST-023,Customer Co W23,broker-23@example.invalid,555-2023,MC-00023,00000023,2300 Supply Row,Austin,TX,78701
TRK-CUST-024,Customer Co X24,broker-24@example.invalid,555-2024,MC-00024,00000024,2400 Supply Row,Austin,TX,78701
TRK-CUST-025,Customer Co Y25,broker-25@example.invalid,555-2025,MC-00025,00000025,2500 Supply Row,Austin,TX,78701
TRK-CUST-026,Customer Co Z26,broker-26@example.invalid,555-2026,MC-00026,00000026,2600 Supply Row,Austin,TX,78701
TRK-CUST-027,Customer Co A27,broker-27@example.invalid,555-2027,MC-00027,00000027,2700 Supply Row,Austin,TX,78701
TRK-CUST-028,Customer Co B28,broker-28@example.invalid,555-2028,MC-00028,00000028,2800 Supply Row,Austin,TX,78701
TRK-CUST-029,Customer Co C29,broker-29@example.invalid,555-2029,MC-00029,00000029,2900 Supply Row,Austin,TX,78701
TRK-CUST-030,Customer Co D30,broker-30@example.invalid,555-2030,MC-00030,00000030,3000 Supply Row,Austin,TX,78701
TRK-CUST-031,Customer Co E31,broker-31@example.invalid,555-2031,MC-00031,00000031,3100 Supply Row,Austin,TX,78701
TRK-CUST-032,Customer Co F32,broker-32@example.invalid,555-2032,MC-00032,00000032,3200 Supply Row,Austin,TX,78701
TRK-CUST-033,Customer Co G33,broker-33@example.invalid,555-2033,MC-00033,00000033,3300 Supply Row,Austin,TX,78701
TRK-CUST-034,Customer Co H34,broker-34@example.invalid,555-2034,MC-00034,00000034,3400 Supply Row,Austin,TX,78701
TRK-CUST-035,Customer Co I35,broker-35@example.invalid,555-2035,MC-00035,00000035,3500 Supply Row,Austin,TX,78701
TRK-CUST-036,Customer Co J36,broker-36@example.invalid,555-2036,MC-00036,00000036,3600 Supply Row,Austin,TX,78701
TRK-CUST-037,Customer Co K37,broker-37@example.invalid,555-2037,MC-00037,00000037,3700 Supply Row,Austin,TX,78701
TRK-CUST-038,Customer Co L38,broker-38@example.invalid,555-2038,MC-00038,00000038,3800 Supply Row,Austin,TX,78701
TRK-CUST-039,Customer Co M39,broker-39@example.invalid,555-2039,MC-00039,00000039,3900 Supply Row,Austin,TX,78701
TRK-CUST-040,Customer Co N40,broker-40@example.invalid,555-2040,MC-00040,00000040,4000 Supply Row,Austin,TX,78701
TRK-CUST-041,Customer Co O41,broker-41@example.invalid,555-2041,MC-00041,00000041,4100 Supply Row,Austin,TX,78701
TRK-CUST-042,Customer Co P42,broker-42@example.invalid,555-2042,MC-00042,00000042,4200 Supply Row,Austin,TX,78701
TRK-CUST-043,Customer Co Q43,broker-43@example.invalid,555-2043,MC-00043,00000043,4300 Supply Row,Austin,TX,78701
TRK-CUST-044,Customer Co R44,broker-44@example.invalid,555-2044,MC-00044,00000044,4400 Supply Row,Austin,TX,78701
TRK-CUST-045,Customer Co S45,broker-45@example.invalid,555-2045,MC-00045,00000045,4500 Supply Row,Austin,TX,78701
TRK-CUST-046,Customer Co T46,broker-46@example.invalid,555-2046,MC-00046,00000046,4600 Supply Row,Austin,TX,78701
TRK-CUST-047,Customer Co U47,broker-47@example.invalid,555-2047,MC-00047,00000047,4700 Supply Row,Austin,TX,78701
TRK-CUST-048,Customer Co V48,broker-48@example.invalid,555-2048,MC-00048,00000048,4800 Supply Row,Austin,TX,78701
TRK-CUST-049,Customer Co W49,broker-49@example.invalid,555-2049,MC-00049,00000049,4900 Supply Row,Austin,TX,78701
TRK-CUST-050,Customer Co X50,broker-50@example.invalid,555-2050,MC-00050,00000050,5000 Supply Row,Austin,TX,78701
