table,id,visible_number,date,amount,description_or_name,why_classified_as_fixture,matched_document,action_taken,action_taken_at,action_taken_reason
banking.bank_transactions,23ba5dbf-217f-4b07-b3b6-e65ec63704de,,2026-08-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #01,explicit review (SAMPLE- prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,bfb63535-d08c-4e65-a575-6fca7a3b6cab,,2026-08-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #01,explicit review (SAMPLE- prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,bee7219c-65a9-49d7-83d9-107afa5addc3,,2026-08-20,1200.00,TEST DATA $1200 CURSOR-USMCA-LIVE-SAMPLE-20260820 Love's / unit T120,explicit review (TEST DATA prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,0d485d2c-b739-4612-b4e2-10639fa8350c,,2026-08-26,1200.00,TEST DATA - hop.bank scenario proof (ACCT-F5620 re-verify),explicit review (TEST DATA prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,6a89bc48-4238-436c-a906-b7e45ee821b1,,2026-08-29,1850.00,TEST DATA - hop.bank owner now 2026-08-28,explicit review (TEST DATA prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,1423f139-86c9-4e63-ba89-1abb75474fd1,,2026-08-31,1104.00,TEST SAMPLE settlement match S-20260802-0258,explicit review (TEST SAMPLE prefix),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,20e7c6af-c222-4534-9c9e-af0574938221,,2026-09-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #02,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,ea1535e3-e9b0-41f4-bf3e-34946ae0c657,,2026-09-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #02,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,5404b1cb-e576-4234-a2e7-54c94726e9fc,,2026-09-15,2500.00,TEST DATA receive payment keep,explicit review (TEST DATA prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,2254f987-dbf5-4355-aeb9-5a1bf57de2eb,,2026-09-15,1200.00,TEST DATA cash deposit keep,explicit review (TEST DATA prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,108722f0-ffb9-4834-8aef-a6b83d4d5249,,2026-09-15,1104.00,TEST SAMPLE settlement match S-20260802-0258 RUN2,explicit review (TEST SAMPLE prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
