at_doc,status,approval_status,net_pay,gross_pay,posted,bills,live_lines
5769,approved,needs_review,1095.52,1155.52,2026-09-25,2,10
5770,approved,needs_review,1997.50,2007.50,2026-09-25,2,11
5771,approved,needs_review,1949.10,1959.10,2026-09-25,2,10
5772,approved,needs_review,997.08,1481.83,2026-09-25,4,20
5773,approved,needs_review,1837.52,1897.52,2026-09-25,2,8
5774,approved,needs_review,1107.42,1167.42,2026-09-25,2,12
5775,approved,needs_review,1186.40,1404.15,2026-09-25,3,17
5776,approved,needs_review,1280.39,1303.89,2026-09-25,3,17
5777,approved,needs_review,1948.00,1958.00,2026-09-25,2,7
5778,approved,needs_review,1245.26,1490.01,2026-09-25,2,13
5779,approved,needs_review,1387.66,1447.66,2026-09-25,2,9
5780,approved,needs_review,300.00,300.00,2026-09-25,2,5
5781,approved,needs_review,1220.31,1280.31,2026-09-25,2,8
5782,approved,needs_review,1456.86,1532.11,2026-09-25,2,9
5783,approved,needs_review,2071.25,2081.25,2026-09-25,2,8
5784,approved,needs_review,1752.28,1837.28,2026-09-25,3,15
5785,approved,needs_review,1246.68,1633.67,2026-09-25,3,15
5786,approved,needs_review,1039.05,1039.05,2026-09-25,2,6
5787,approved,needs_review,885.73,1097.72,2026-09-25,2,9
5788,approved,needs_review,1273.90,1725.89,2026-09-25,3,12
5789,approved,needs_review,2015.85,2025.85,2026-09-25,2,8
5790,approved,needs_review,1452.75,1512.75,2026-09-25,2,8
5791,approved,needs_review,1630.03,1690.03,2026-09-25,2,8
5792,approved,needs_review,1386.05,1738.04,2026-09-25,3,12
5793,approved,needs_review,1568.91,1548.41,2026-09-25,2,10
5794,approved,needs_review,1330.60,1360.30,2026-09-25,2,11
5795,approved,needs_review,789.04,1051.03,2026-09-25,2,10
5796,approved,needs_review,379.73,379.73,2026-09-25,1,3
5797,approved,needs_review,1544.48,1554.48,2026-09-25,2,6
5798,approved,needs_review,927.85,987.85,2026-09-25,2,6
5799,approved,needs_review,2523.91,2533.91,2026-09-25,2,6
5800,approved,needs_review,1407.40,1662.10,2026-09-25,3,11
5801,approved,needs_review,1334.02,1558.27,2026-09-25,2,9
5802,approved,needs_review,2104.84,2114.84,2026-09-25,2,6
5803,approved,needs_review,1624.05,1684.05,2026-09-25,2,9
5804,approved,needs_review,1601.08,1645.83,2026-09-24,2,10
5805,approved,needs_review,2002.65,2012.65,2026-09-24,2,12
5806,approved,needs_review,2008.15,2018.15,2026-09-24,2,8
5807,approved,needs_review,1702.05,2067.05,2026-09-24,3,17
5808,approved,needs_review,2001.25,2011.25,2026-09-24,2,8
5809,approved,needs_review,2075.97,2160.97,2026-09-24,3,16
5810,approved,needs_review,1700.77,1760.77,2026-09-24,2,7
5811,approved,needs_review,1964.35,2024.35,2026-09-24,2,8
5812,approved,needs_review,-50.00,0.00,unposted,2,6
5813,approved,needs_review,1986.05,1996.05,2026-09-24,2,6
5814,approved,needs_review,1992.65,2002.65,2026-09-24,2,6
5815,approved,needs_review,1206.10,1266.10,2026-09-24,2,6
