at_doc,load_number,load_status,load_rate,driver_pay,bill_status,invoice,inv_status,inv_total,fa_id,fa_status,fa_advance,fa_face
5769,13498,completed_docs_received,3800.00,568.76,open,13498,sent,3800.00,"",,0.00,0.00
5769,13508,completed_docs_received,2500.00,586.76,open,13508,sent,2500.00,"",,0.00,0.00
5770,13503,completed_docs_received,4900.00,947.15,open,13503,sent,4900.00,"",,0.00,0.00
5770,13509,completed_docs_received,4400.00,960.35,open,13509,sent,4400.00,"",,0.00,0.00
5771,13504,completed_docs_received,4900.00,945.10,open,13504,sent,4900.00,"",,0.00,0.00
5771,13510,closed,3000.00,964.00,open,13510,sent,3000.00,"",,0.00,0.00
5771,13521,closed,3500.00,962.90,open,13521,sent,3500.00,"",,0.00,0.00
5771,13537,closed,3300.00,961.15,open,13537,sent,3300.00,"",,0.00,0.00
5772,13502,completed_docs_received,3800.00,485.87,open,13502,sent,3800.00,"",,0.00,0.00
5772,13507,completed_docs_received,1200.00,228.56,open,13507,sent,1200.00,"",,0.00,0.00
5772,13512,closed,1700.00,422.46,open,13512,sent,1700.00,"",,0.00,0.00
5772,13513,completed_docs_received,525.00,244.94,open,13513,sent,525.00,"",,0.00,0.00
5773,13497,completed_docs_received,7200.00,939.87,open,13497,sent,7200.00,"",,0.00,0.00
5773,13511,closed,3600.00,957.65,open,13511,sent,3600.00,"",,0.00,0.00
5774,13517,completed_docs_received,3800.00,471.97,open,13517,sent,3800.00,"",,0.00,0.00
5774,13518,closed,4000.00,579.98,open,13518,sent,4000.00,"",,0.00,0.00
5774,13536,closed,4000.00,810.38,open,13536,sent,4000.00,"",,0.00,0.00
5775,13506,completed_docs_received,3900.00,581.58,open,13506,sent,3900.00,"",,0.00,0.00
5775,13514,completed_docs_received,2700.00,552.83,open,13514,sent,2700.00,"",,0.00,0.00
5775,13516,completed_docs_received,700.00,169.74,open,13516,sent,700.00,"",,0.00,0.00
5775,13555,completed_docs_received,3180.00,431.15,open,13555,sent,3180.00,"",,0.00,0.00
5776,13505,completed_docs_received,3900.00,581.58,open,13505,sent,3900.00,"",,0.00,0.00
5776,13515,completed_docs_received,525.00,208.53,open,13515,sent,525.00,"",,0.00,0.00
5776,13520,completed_docs_received,2600.00,413.78,open,13520,sent,2600.00,"",,0.00,0.00
5776,13534,closed,3100.00,652.42,open,13534,sent,3100.00,"",,0.00,0.00
5777,13519,closed,4900.00,945.10,open,13519,sent,4900.00,"",,0.00,0.00
5777,13521,closed,3500.00,962.90,open,13521,sent,3500.00,"",,0.00,0.00
5778,13524,completed_docs_received,3800.00,853.61,open,13524,sent,3800.00,"",,0.00,0.00
5778,13525,completed_docs_received,0.00,586.40,open,13525,sent,0.00,"",,0.00,0.00
5778,13540,completed_docs_received,3120.00,760.60,open,13540,sent,3120.00,"",,0.00,0.00
5779,13526,closed,3500.00,724.51,open,13526,sent,3500.00,"",,0.00,0.00
5779,13527,completed_docs_received,3000.00,696.15,open,13527,sent,3000.00,"",,0.00,0.00
5780,13530,completed_docs_received,1500.00,150.00,open,13530,sent,1500.00,"",,0.00,0.00
5780,13532,closed,1000.00,150.00,open,13532,sent,1000.00,"",,0.00,0.00
5781,13523,completed_docs_received,3600.00,627.89,open,13523,sent,3600.00,"",,0.00,0.00
5781,13534,closed,3100.00,652.42,open,13534,sent,3100.00,"",,0.00,0.00
5782,13529,completed_docs_received,3900.00,728.51,open,13529,sent,3900.00,"",,0.00,0.00
5782,13540,completed_docs_received,3120.00,760.60,open,13540,sent,3120.00,"",,0.00,0.00
5783,13535,closed,4900.00,945.10,open,13535,sent,4900.00,"",,0.00,0.00
5783,13537,closed,3300.00,961.15,open,13537,sent,3300.00,"",,0.00,0.00
5784,13522,completed_docs_received,3500.00,567.17,open,13522,sent,3500.00,"",,0.00,0.00
5784,13528,closed,3100.00,285.39,open,13528,sent,3100.00,"",,0.00,0.00
5784,13536,closed,4000.00,810.38,open,13536,sent,4000.00,"",,0.00,0.00
5785,13531,completed_docs_received,4300.00,666.81,open,13531,sent,4300.00,"",,0.00,0.00
5785,13538,closed,800.00,309.61,open,13538,sent,800.00,"",,0.00,0.00
5785,13543,closed,2500.00,547.25,open,13543,sent,2500.00,"",,0.00,0.00
5786,13533,completed_docs_received,3450.00,500.22,open,13533,sent,3450.00,"",,0.00,0.00
5786,13548,closed,2300.00,538.83,open,13548,sent,2300.00,"",,0.00,0.00
5787,13549,closed,1000.00,569.57,open,13549,sent,1000.00,"",,0.00,0.00
5787,13555,completed_docs_received,3180.00,431.15,open,13555,sent,3180.00,"",,0.00,0.00
5788,13539,completed_docs_received,4860.00,670.68,open,13539,sent,4860.00,"",,0.00,0.00
5788,13546,completed_docs_received,1100.00,369.86,open,13546,sent,1100.00,"",,0.00,0.00
5788,13552,completed_docs_received,3000.00,685.35,open,13552,sent,3000.00,"",,0.00,0.00
