table,rows,opco,has_code,has_name,status,lane,shape_fix,note
account_merge_records,0,Y,N,N,EXCLUDE (system),-,,system merge audit
cancellation_reasons,9,N,N,N,EXCLUDE (system),-,,RETIRE -> load_cancellation_reasons
catalog_registry,8,N,Y,Y,EXCLUDE (system),-,,registry table itself
chart_of_accounts_seeds,9,Y,Y,Y,EXCLUDE (system),-,,seed data
driver_leave_balances,0,Y,N,N,EXCLUDE (system),-,,balances not a catalog
equipment_types_dedup_ledger_0318,2,N,N,N,EXCLUDE (system),-,,dedup ledger - archive
excel_upload_jobs,0,N,N,N,EXCLUDE (system),-,,system job queue
fmcsa_lookups,1,Y,N,N,EXCLUDE (system),-,,system lookup cache
form_425c_company_profiles,6,Y,N,N,EXCLUDE (system),-,,company profile form (not a list)
leave_policies,3,Y,N,N,EXCLUDE (system),-,,per-company settings (edit form)
payee_tax_profile,0,Y,N,N,EXCLUDE (system),-,,tax profile/settings
tax_form_thresholds,8,N,N,N,EXCLUDE (system),-,,tax config
workflow_requests,0,N,N,N,EXCLUDE (system),-,,system requests
equipment_line_item_templates,42,Y,Y,Y,TEMPLATE (special),owner,,"template editor, not add-row list"
pay_rate_templates,6,Y,Y,Y,TEMPLATE (special),owner,,"template editor, not add-row list"
settlement_templates,0,Y,Y,Y,TEMPLATE (special),owner,,"template editor, not add-row list"
work_order_templates,0,Y,Y,Y,TEMPLATE (special),owner,,"template editor, not add-row list"
currency_codes,6,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
driver_deduction_types,21,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
driver_pay_types,6,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
escrow_types,3,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
expense_categories,9,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
load_cancellation_reasons,63,Y,N,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,add code/display_name,
qbo_categories,0,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
tax_codes,6,Y,Y,Y,"WIRE (entity, FINANCIAL-hold)",owner-gated,,
accident_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
air_bag_catalog,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
asset_condition_codes,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
asset_locations,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
asset_statuses,12,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
battery_catalog,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
cargo_claim_reasons,0,Y,N,Y,"WIRE (entity, non-fin)",non-fin,add code/display_name,
cash_advance_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
cdl_endorsements,18,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
cdl_restrictions,21,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
civil_fine_types,57,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
company_violation_types,15,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
complaint_types,295,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
customer_quality_event_reasons,72,Y,Y,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
def_stations,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
detail_types,144,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
detention_reasons,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
dispatch_flag_colors,24,Y,N,Y,"WIRE (entity, non-fin)",non-fin,add code/display_name,
dispatcher_error_reasons,75,Y,Y,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
dot_violation_types,213,Y,N,Y,"WIRE (entity, non-fin)",non-fin,add code/display_name,
driver_termination_reasons,48,Y,Y,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
employment_statuses,18,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
expensive_states,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_brands,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_card_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_dispatch_routes,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_exception_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_grades,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_pump_types,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_station_brands,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_station_states,9,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_stations,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_stop_reason_codes,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
fuel_tax_jurisdictions,174,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
ifta_states,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
internal_fine_reasons,19,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
labor_rates,0,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
lease_terms,12,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
leave_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
license_classes,18,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
load_trailer_equipment,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
load_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_failure_codes,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_labor_codes,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_part_locations,123,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
maintenance_parts,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_priority_levels,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_service_tasks,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_shop_locations,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
maintenance_vendors,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
medical_card_statuses,12,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
mpg_bands,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
mx_customs_brokers,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
parts,0,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
payment_methods,27,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
pickup_time_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
pm_intervals,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
relay_accounts,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
repair_locations,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
tire_catalog,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
toll_providers,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
tractor_statuses,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
trailer_parts,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
trailer_statuses,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
trailer_types,12,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
truck_parts,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
unit_ownership_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
vendor_types,24,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
void_cancel_reasons,18,Y,N,N,"WIRE (entity, non-fin)",non-fin,add code/display_name,
work_order_statuses,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
workplace_incident_types,0,Y,Y,Y,"WIRE (entity, non-fin)",non-fin,,
account_types,15,N,Y,Y,WIRE (global),non-fin,,
audit_event_types,13,N,Y,N,WIRE (global),non-fin,add code/display_name,
file_categories,21,N,Y,N,WIRE (global),non-fin,add code/display_name,
journal_entry_types,16,N,Y,Y,WIRE (global),non-fin,,
mexico_states,32,N,Y,Y,WIRE (global),non-fin,,
tire_positions,0,N,Y,Y,WIRE (global),non-fin,,
us_states,56,N,Y,Y,WIRE (global),non-fin,,
wo_cancellation_reasons,6,N,N,N,WIRE (global),non-fin,add code/display_name,
account_role_bindings,0,Y,N,N,WIRED,-,add code/display_name,
accounts,1408,Y,N,N,WIRED,-,add code/display_name,
additional_charges,18,Y,Y,Y,WIRED,-,,
classes,177,Y,N,N,WIRED,-,add code/display_name,
driver_load_statuses,39,Y,Y,Y,WIRED,-,,
equipment_types,21,Y,Y,Y,WIRED,-,,
items,236,Y,N,N,WIRED,-,add code/display_name,
lumper_providers,15,Y,Y,Y,WIRED,-,,
payment_terms,15,Y,N,N,WIRED,-,add code/display_name,
posting_templates,0,Y,N,N,WIRED,-,add code/display_name,
customer_types,18,Y,Y,Y,WIRE (entity non-fin),claude,,LST-WIRE-07 created 2026-07-29 QuickBooks Customer Type
