faro_invoice_no,qbo_doc_number,at_load_no,link_basis,customer_faro,customer_qbo,customer_at,faro_po_ref,at_work_order,faro_face_usd,qbo_amount_usd,qbo_open_balance_usd,at_gross_rate_usd,faro_net_advance_usd,qbo_txn_date,faro_issue_date,at_status,defects
001,001,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),REHMANN TRANSPORTATION CORP.,Rehmann Transportation Corp.,,001523174,,3600.00,3600.00,3600.00,,3482.00,2026-08-10,08/11/2026,,NONE
002,002,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),IMPACT BULK LOGISTICS LLC,Impact Bulk Logistics,,4483,,3000.00,3000.00,3000.00,,2910.00,2026-08-10,08/10/2026,,NONE
003,003,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),NCC LOGISTICS USA INC,NCC Logistics,,138458,,2500.00,2500.00,2500.00,,2415.00,2026-08-10,08/10/2026,,NONE
004,004,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),"Watco Supply Chain Services, LLC",Watco Supply Chain Services LLC DBA Watco Logistics,,2239480,,1700.00,1700.00,1700.00,,1639.00,2026-08-12,08/12/2026,,NONE
005,005,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),Magna Transport Solutions LLC,Magna Transport Solutions LLC,,130823895,,2700.00,2700.00,2700.00,,2619.00,2026-08-13,08/13/2026,,NONE
006,006,,AMBIGUOUS - QBO duplicate doc number,BV LOGISTICS INC,MULTIPLE,,20495,,2600.00,,,,2512.00,,08/13/2026,,P1 QBO-DUPLICATE-DOCNUMBER-x3
007,007,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),"ITS LOGISTICS, LLC",ITS Logistics LLC,,68747,,350.00,250.00,250.00,,339.50,2026-08-13,08/13/2026,,P1 FACE-MISMATCH Faro-minus-QBO +100.00
008,008,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),FLS Transport Inc.,FLS TRANSPORTATION SERVICES LIMITED,,005772267,,525.00,525.00,525.00,,509.24,2026-08-13,08/14/2026,,NONE
,009,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),,FLS TRANSPORTATION SERVICES LIMITED,,,,,525.00,525.00,,,2026-08-13,,,P2 ON-BOOKS-NOT-FACTORED (owner rule: every customer factors)
,010,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),,SUPPLY CHAIN MANAGEMENT,,,,,4000.00,4000.00,,,2026-08-13,,,P2 ON-BOOKS-NOT-FACTORED (owner rule: every customer factors)
011,011,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),Sethmar Transportation Inc,Sethmar Transportation,,477079,,700.00,700.00,700.00,,679.00,2026-08-14,08/14/2026,,NONE
012,012,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),CTS XPRESS LLC,CTS EXPRESS LLC,,0015418,,4000.00,4000.00,4000.00,,3870.00,2026-08-14,08/14/2026,,NONE
013,013,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),Sethmar Transportation Inc,Semares Forwarding Services,,SEM66465,,4900.00,4900.00,4900.00,,4753.00,2026-08-14,08/14/2026,,NONE
