Sett.#,Date,Loaded Miles,Empty Miles,Inv.,QP,Total Inv.,RPM,Sales Comm.,%,RPM,Driver Salary,Add. Driver Pay,Ext. Carrier,%,RPM,Fuel,MPG,%,RPM,Fuel Disc.,Exp.,%,RPM,Ot. Pay,SubTtl,Net Rev.,%,RPM
5760,2026-08-03,2650.3,395.7,6720,0,6720,2.21,0,0,0,-1320.9,0,0,0,0,-2661.72,6.101,39.61,0.87,0,-106.08,1.58,0.03,0,4088.7,2631.3,39.16,0.86
5761,2026-08-03,2984.3,225.2,6139,0,6139,1.91,0,0,0,-1399.2,-5,0,0,0,-3101.36,5.457,50.52,0.97,0,-531.73,8.66,0.17,0,5037.29,1101.71,17.95,0.34
5762,2026-08-03,2709.9,337.2,7439,-82.5,7356.5,2.41,0,0,0,-1359.28,0,0,0,0,-4220.24,3.788,57.37,1.39,0,-189.41,2.57,0.06,0,5768.93,1587.57,21.58,0.52
5763,2026-08-04,2657.6,108.9,7600,-63,7537,2.72,0,0,0,-1202.59,-100,0,0,0,-2482.28,5.856,32.93,0.9,0,-344.49,4.57,0.12,0,4129.36,3407.64,45.21,1.23
5764,2026-08-04,3709.8,269.8,8900,-133.5,8766.5,2.2,0,0,0,-1929.3,-100,0,0,0,-3779.49,5.748,43.11,0.95,0,-128.98,1.47,0.03,0,5937.77,2828.73,32.27,0.71
5765,2026-08-04,3709.8,269.8,8900,-133.5,8766.5,2.2,0,0,0,-1929.3,-100,0,0,0,-3032.07,7.232,34.59,0.76,0,-95.59,1.09,0.02,0,5156.96,3609.54,41.17,0.91
5766,2026-08-05,377.2,379.8,1500,0,1500,1.98,0,0,0,-300,0,0,0,0,-660.55,6.192,44.04,0.87,0,-105.67,7.04,0.14,0,1066.22,433.78,28.92,0.57
5767,2026-08-06,2632,506.1,7100,-90,7010,2.23,0,0,0,-1307.2,0,0,0,0,-2673.68,6.259,38.14,0.85,0,-147.02,2.1,0.05,0,4127.9,2882.1,41.11,0.92
5768,2026-08-06,2643.4,166.8,7300,0,7300,2.6,0,0,0,-1228.1,-25,0,0,0,-2969.49,5.07,40.68,1.06,0,-111.42,1.53,0.04,0,4334.01,2965.99,40.63,1.06
5769,2026-08-12,2648.3,19.9,6300,-114,6186,2.32,0,0,0,-1155.52,0,0,0,0,-1278.22,11.198,20.66,0.48,0,-67.84,1.1,0.03,0,2501.58,3684.42,59.56,1.38
5770,2026-08-12,3808.7,112.5,9300,-139.5,9160.5,2.34,0,0,0,-1907.5,-100,0,0,0,-3221.7,6.727,35.17,0.82,0,-105.05,1.15,0.03,0,5334.25,3826.25,41.77,0.98
5771,2026-08-12,3561.2,382,7900,-73.5,7826.5,1.98,0,0,0,-1909.1,-50,0,0,0,-3171.66,6.745,40.52,0.8,0,-152.34,1.95,0.04,0,5283.1,2543.4,32.5,0.65
5772,2026-08-13,2716.6,439.9,7225,-155.25,7069.75,2.24,0,0,0,-1381.83,-100,0,0,0,-3979.4,4.206,56.29,1.26,0,-189.66,2.68,0.06,0,5650.89,1418.86,20.07,0.45
5773,2026-08-13,3705.3,598.7,10800,-216,10584,2.46,0,0,0,-1897.52,0,0,0,0,-3805.85,6.102,35.96,0.88,0,-196.94,1.86,0.05,0,5900.31,4683.69,44.25,1.09
5774,2026-08-14,2394.3,134.9,7800,-57,7743,3.06,0,0,0,-1051.95,0,0,0,0,-2519.78,5.358,32.54,1,0,-1256.36,16.23,0.5,0,4828.09,2914.91,37.65,1.15
5775,2026-08-14,2815,145.5,7300,-160.5,7139.5,2.41,0,0,0,-1304.15,-100,0,0,0,-3207.4,4.921,44.92,1.08,0,-182.69,2.56,0.06,0,4794.24,2345.26,32.85,0.79
5776,2026-08-14,2649.9,61.9,7025,-132.75,6892.25,2.54,0,0,0,-1203.89,-100,0,0,0,-4224.49,3.464,61.29,1.56,0,-248.76,3.61,0.09,0,5777.14,1115.11,16.18,0.41
5777,2026-08-17,3554.6,376.1,8400,-178.5,8221.5,2.09,0,0,0,-1908,-50,0,0,0,-3369.65,6.515,40.99,0.86,0,-80.35,0.98,0.02,0,5408,2813.5,34.22,0.72
