Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-14,5775,2763.2,134.9,3,3,1304.15,100,15.25,233,1186.4,No
2026-08-28,5787,1703.6,520.2,2,2,1000.72,75,22,211.99,885.73,No
Totals:,,4466.8,655.1,5,5,2304.87,175,37.25,444.99,2072.13,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-12,5769,2547.9,19.9,2,2,1155.52,0,0,60,1095.52,No
Totals:,,2547.9,19.9,2,2,1155.52,0,0,60,1095.52,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-13,5773,3629.1,587.6,2,2,1897.52,0,0,60,1837.52,No
2026-08-27,5786,2155,154,2,2,1039.05,0,0,0,1039.05,No
Totals:,,5784.1,741.6,4,4,2936.57,0,0,60,2876.57,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-26,5785,2819.2,566.7,3,4,1523.67,100,10,386.99,1246.68,No
Totals:,,2819.2,566.7,3,4,1523.67,100,10,386.99,1246.68,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-06,5768,2562.3,166.8,2,4,1228.1,25,0,60,1193.1,No
2026-08-17,5778,2488.5,711.5,2,2,1440.01,50,15.25,260,1245.26,No
2026-08-24,5782,3130.6,178.5,2,2,1489.11,25,18,75.25,1456.86,No
Totals:,,8181.4,1056.8,6,8,4157.22,100,33.25,395.25,3895.22,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-03,5760,2571.8,363.5,2,2,1320.9,0,0,50,1270.9,No
Totals:,,2571.8,363.5,2,2,1320.9,0,0,50,1270.9,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-04,5764,3597.3,261.3,2,2,1929.3,100,0,10,2019.3,No
2026-08-12,5771,3465,353.2,2,2,1909.1,50,0,10,1949.1,No
2026-08-17,5777,3447.9,368.1,2,2,1908,50,0,10,1948,No
2026-08-25,5783,3476.8,335.7,2,3,1906.25,175,0,10,2071.25,No
Totals:,,13987,1318.3,8,9,7652.65,375,0,40,7987.65,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-06,5767,2550.9,489.1,2,2,1307.2,0,20.5,60,1267.7,No
2026-08-14,5774,2312.4,134,2,2,1051.95,0,115.47,60,1107.42,No
2026-08-25,5784,3469,398.3,3,4,1662.94,25,149.34,85,1752.28,No
Totals:,,8332.3,1021.4,7,8,4022.09,25,285.31,205,4127.4,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-04,5763,2564.5,107.9,2,2,1202.59,100,15.25,260,1057.84,No
Totals:,,2564.5,107.9,2,2,1202.59,100,15.25,260,1057.84,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-03,5761,2886,223.3,2,2,1399.2,5,195.65,115,1484.85,No
2026-08-14,5776,2616.8,58.5,3,3,1203.89,100,61.5,85,1280.39,No
2026-08-21,5781,2787,58.1,2,2,1280.31,0,0,60,1220.31,No
Totals:,,8289.8,339.9,7,7,3883.4,105,257.15,260,3985.55,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-20,5779,2669.1,487.9,2,2,1420.66,27,0,60,1387.66,No
Totals:,,2669.1,487.9,2,2,1420.66,27,0,60,1387.66,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-04,5765,3597.3,261.3,2,2,1929.3,100,0,0,2029.3,No
2026-08-12,5770,3707.6,107.4,2,2,1907.5,100,0,10,1997.5,No
Totals:,,7304.9,368.7,4,4,3836.8,200,0,10,4026.8,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-13,5772,2646.8,423.9,4,4,1381.83,100,15.25,500,997.08,No
Totals:,,2646.8,423.9,4,4,1381.83,100,15.25,500,997.08,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-05,5766,351.7,351.6,0,0,300,0,20,0,320,No
2026-08-21,5780,730.3,160.3,0,0,300,0,0,0,300,No
Totals:,,1082,511.9,0,0,600,0,20,0,620,
Date,Settlement,Loaded Mi.,Empty Mi.,Picks,Drops,Salary,Addl. Pay,Expenses,Deductions,Total,Driver Pay
2026-08-03,5762,2686.9,333.7,2,2,1359.28,0,61.1,108,1312.38,No
Totals:,,2686.9,333.7,2,2,1359.28,0,61.1,108,1312.38,
Totals:,,75934.5,8317.2,58,63,38758.05,1307,734.56,2840.23,37959.38,
