Invoice#,W/O#,Date,Paid,Customer,State,Truck#,Load#,Invoiced,Advances,Date of Advance,QuickPay,Total
,,Uninvoiced,,Hawkeye Transportation Services,SD,T148,13544,600,0,,9,591
,29852,Uninvoiced,,PRODIGEE LOGISTICS LLC,ID,T171,13536,4000,0,,0,4000
,119922,Uninvoiced,,OSTT Logistics,IN,T177,13537,3300,0,,99,3201
,21148,Uninvoiced,,Jericho freight LLC,WY,T152,13538,800,0,,0,800
,1189,Uninvoiced,,"IM Specialized Logistics, LLC.",TX,T173,13540,3120,0,,0,3120
,1000052,Uninvoiced,,"MPH CARRIER SERVICES, INC",TX,T163,13548,2300,0,,0,2300
,196203,Uninvoiced,,SIMPLE LOGISTICS SOLUTIONS,TN,T175,13542,4000,0,,0,4000
,LD88719,Uninvoiced,,PFL Logistics CO.,IN,T152,13543,2500,0,2026-08-24,0,2500
,0314828,Uninvoiced,,R2X LLC,IN,T164,13549,1000,0,,30,970
,20348212,Uninvoiced,,"John J. Jerue Truck Broker, Inc",FL,T173,13545,4800,0,,144,4656
,20348564,Uninvoiced,,"John J. Jerue Truck Broker, Inc",FL,T156,13546,1100,0,,33,1067
,20348480,Uninvoiced,,"John J. Jerue Truck Broker, Inc",FL,T152,13547,4800,0,,144,4656
,SMX14603,Uninvoiced,,Semares Forwarding Services,TX,T177,13550,4900,0,,73.5,4826.5
,637673,Uninvoiced,,PAYPA TRANSPORT,S.L.P.,T148,13553,1500,0,,0,1500
,0801,Uninvoiced,,2EMS TRANSPORTATION,TX,T164,13555,3180,0,,0,3180
13485,338434,2026-08-03,,Unlimited Logistics,MO,T171,13485,2039,0,,0,2039
13486,14713,2026-08-03,,Sam Farms LLC,TX,T164,13486,3400,0,,0,3400
13492,3044176,2026-08-03,,Integrity Expres Logistics,OH,T176,13492,4000,0,,60,3940
13493,3044178,2026-08-03,,Integrity Expres Logistics,OH,T175,13493,4000,0,,60,3940
13494,69526,2026-08-03,,Arvi Logistics,TX,T173,13494,3800,0,,0,3800
13495,R03645,2026-08-03,,EGRO TRANSPORT LLC,TX,T168,13495,4100,0,,0,4100
13496,S6653328,2026-08-04,,Smartway Transportation Inc,KS,T168,13496,3000,0,,90,2910
13497,O-1639,2026-08-03,,Mexicom Logistics,QC,T163,13497,7200,0,,108,7092
13498,1007701,2026-08-12,,Value Logistics Inc DBA A1 Value,GA,T156,13498,3800,0,,114,3686
13499,SEM66428,2026-08-04,,Semares Forwarding Services,TX,T176,13499,4900,0,,73.5,4826.5
13500,350237,2026-08-04,,Unlimited Logistics,MO,T173,13500,3500,0,,0,3500
13501,T01608843,2026-08-04,,PAYPA TRANSPORT,S.L.P.,T148,13501,1500,0,,0,1500
13502,1007552-2,2026-08-04,,Value Logistics Inc DBA A1 Value,GA,T152,13502,3800,0,,114,3686
13503,SMX14551,2026-08-12,,Semares Forwarding Services,TX,T176,13503,4900,0,,73.5,4826.5
13504,SMX14556,2026-08-12,,Semares Forwarding Services,TX,T177,13504,4900,0,,73.5,4826.5
13505,1008091,2026-08-17,,Value Logistics Inc DBA A1 Value,GA,T147,13505,3900,0,,117,3783
13506,1008405,2026-08-17,,DH Express Inc,TX,T164,13506,3900,0,,58.5,3841.5
13507,681781,2026-08-12,,TWIN CITIES,MN,T152,13507,1200,0,,0,1200
13508,138458,2026-08-12,,NCC Logistics México,ON,T156,13508,2500,0,,0,2500
13509,ES6840,2026-08-12,,ES Logistics International LLC,TX,T176,13509,4400,0,,66,4334
13510,4483,2026-08-12,,IMPACT BULK LOGISTICS,IN,T177,13510,3000,0,,0,3000
13511,001523174,2026-08-12,,Rehmann Transportation Corp.,NJ,T163,13511,3600,0,,108,3492
13512,2239480,2026-08-17,,Watco Supply Chain Services LLC DBA Watco Logistics,AR,T152,13512,1700,0,,25.5,1674.5
13513,005772267,2026-08-17,,FLS Transportation Services Limited,QC,T152,13513,525,0,,15.75,509.25
13514,130823895,2026-08-17,,Magna Logistics Group LLC,TX,T164,13514,2700,0,,81,2619
13515,005773872,2026-08-17,,FLS Transportation Services Limited,QC,T175,13515,525,0,,15.75,509.25
13516,477079,2026-08-17,,Sethmar Transportation,KS,T164,13516,700,0,,21,679
13517,1012664,2026-08-17,,Refrigerx Transportation LLC,TX,T171,13517,3800,0,,57,3743
13518,0015418,2026-08-17,,CTS Xpress LLC,TN,T171,13518,4000,0,,0,4000
13519,SEM66465,2026-08-17,,Semares Forwarding Services,TX,T177,13519,4900,0,,73.5,4826.5
13520,20495,2026-08-17,,BV LOGISTICS INC,CA,T175,13520,2600,0,,0,2600
13521,31496-65096,2026-08-17,,Core Logistics Brokerage,FL,T177,13521,3500,0,,105,3395
13522,38353,2026-08-17,,Del-Can Logistics LLC,TX,T171,13522,3500,0,,52.5,3447.5
