ID,Invoice,Debtor,PO,Other Ref,Inv Date,Due Date,Age,0-30,31-60,61-90,90+,Balance,Purchase
345558,13116,CJ LOGISTICS TRANSPORTATION LLC,40135806,,04/06/2026,05/06/2026,146,0.00,0.00,0.00,5000.00,5000.00,Y
345559,13109,7 STAR BROKERAGE,128527512,,04/06/2026,05/06/2026,146,0.00,0.00,0.00,3000.00,3000.00,Y
346911,13122,"BUCHANAN LOGISTICS, INC",3323241,,04/09/2026,05/09/2026,143,0.00,0.00,0.00,4800.00,4800.00,Y
352209,13179,SIMPLEX LOGISTICS LLC,0005634,,04/23/2026,05/23/2026,129,0.00,0.00,0.00,1700.00,1700.00,Y
356015,13219,MIDAN FREIGHT INC,12784,,05/04/2026,06/03/2026,118,0.00,0.00,0.00,2500.00,2500.00,Y
358728,13241,Hawkeye Transportation Services,63642,,05/11/2026,06/10/2026,111,0.00,0.00,0.00,800.00,800.00,Y
362941,13271,4WRD FREIGHT & LOGISTICS GROUP INC,174108,,05/21/2026,06/20/2026,101,0.00,0.00,0.00,3000.00,3000.00,Y
370937,13353,INC ADMIRAL MERCHANTS MOTOR FREIGHT INC,2608629,,06/12/2026,07/12/2026,79,0.00,0.00,2100.00,0.00,2100.00,Y
373420,13378,ARMSTRONG TRANSPORT GROUP INC,4424066-1,,06/18/2026,07/18/2026,73,0.00,0.00,3500.00,0.00,3500.00,Y
373983,13379,LARRALDE TRANSPORT COMPANY LLC,3543,,06/22/2026,07/18/2026,69,0.00,0.00,4000.00,0.00,4000.00,Y
374199,13381,Ryan Transportation Service Inc.,6125406,,06/22/2026,07/22/2026,69,0.00,0.00,3000.00,0.00,3000.00,Y
375591,13393,S E Mares Forwarding Service LLC,56704,,06/24/2026,07/24/2026,67,0.00,0.00,4900.00,0.00,4900.00,Y
375592,13392,S E Mares Forwarding Service LLC,56716,,06/24/2026,07/24/2026,67,0.00,0.00,4900.00,0.00,4900.00,Y
376322,13374,S E Mares Forwarding Service LLC,SMX14455,,06/26/2026,07/26/2026,65,0.00,0.00,4900.00,0.00,4900.00,Y
376798,13405,S E Mares Forwarding Service LLC,SMX14445,,06/29/2026,07/29/2026,62,0.00,0.00,4900.00,0.00,4900.00,Y
376889,13401,MEGACORP LOGISTICS,2639166,,06/29/2026,07/29/2026,62,0.00,0.00,2800.00,0.00,2800.00,Y
378229,13416,S E Mares Forwarding Service LLC,SEM66396,,07/01/2026,07/31/2026,60,0.00,4900.00,0.00,0.00,4900.00,Y
378230,13402,S E Mares Forwarding Service LLC,SEM66392,,07/01/2026,07/31/2026,60,0.00,4900.00,0.00,0.00,4900.00,Y
378389,13413,LARRALDE TRANSPORT COMPANY LLC,3553,,07/01/2026,07/31/2026,60,0.00,3920.00,0.00,0.00,3920.00,Y
379706,13422,S E Mares Forwarding Service LLC,SEM66408,,07/06/2026,08/05/2026,55,0.00,4900.00,0.00,0.00,4900.00,Y
379707,13424,S E Mares Forwarding Service LLC,SEM66407,,07/06/2026,08/05/2026,55,0.00,4900.00,0.00,0.00,4900.00,Y
379941,13421,S E Mares Forwarding Service LLC,SEM66409,,07/06/2026,08/05/2026,55,0.00,4900.00,0.00,0.00,4900.00,Y
379978,13423,S E Mares Forwarding Service LLC,SMX14475,,07/06/2026,08/05/2026,55,0.00,4900.00,0.00,0.00,4900.00,Y
380612,13425,FOREFRONT GLOBAL LOGISTICS LLC,48449,,07/08/2026,08/07/2026,53,0.00,2200.00,0.00,0.00,2200.00,Y
381164,13430,MEGACORP LOGISTICS,2652522,,07/09/2026,08/08/2026,52,0.00,3300.00,0.00,0.00,3300.00,Y
381920,13431,KING OF FREIGHT,3282186,,07/10/2026,08/09/2026,51,0.00,3500.00,0.00,0.00,3500.00,Y
383778,13442,S E Mares Forwarding Service LLC,56713,,07/16/2026,08/15/2026,45,0.00,4900.00,0.00,0.00,4900.00,Y
383794,13441,S E Mares Forwarding Service LLC,SEM66427,,07/16/2026,08/15/2026,45,0.00,4900.00,0.00,0.00,4900.00,Y
384241,13457,Somerset Logistics,TNH882312,,07/17/2026,08/16/2026,44,0.00,3700.00,0.00,0.00,3700.00,Y
384242,13443,S E Mares Forwarding Service LLC,SEM66430,,07/17/2026,08/16/2026,44,0.00,4900.00,0.00,0.00,4900.00,Y
385123,13455,ES Logistics,ES6814,,07/20/2026,08/19/2026,41,0.00,4400.00,0.00,0.00,4400.00,Y
385225,13451,Transport Capacity Services LLC,20830,,07/20/2026,08/19/2026,41,0.00,4900.00,0.00,0.00,4900.00,Y
385341,13458,PG Global LLC,GLA00168/26,,07/20/2026,08/19/2026,41,0.00,3900.00,0.00,0.00,3900.00,Y
385824,13465,ES Logistics,ES-6810,,07/21/2026,08/20/2026,40,0.00,4500.00,0.00,0.00,4500.00,Y
386153,13467,ARMSTRONG TRANSPORT GROUP INC,4511876-1,,07/22/2026,08/21/2026,39,0.00,3700.00,0.00,0.00,3700.00,Y
387355,13470,REHMANN TRANSPORTATION CORP.,001522329,,07/24/2026,08/23/2026,37,0.00,3200.00,0.00,0.00,3200.00,Y
387357,13471,TC FREIGHT LLC,130501325,,07/24/2026,08/23/2026,37,0.00,3200.00,0.00,0.00,3200.00,Y
387358,13468,ATN LLC,123660,,07/24/2026,08/23/2026,37,0.00,3000.00,0.00,0.00,3000.00,Y
387772,13476,DH Express Inc.,992,,07/27/2026,08/26/2026,34,0.00,4200.00,0.00,0.00,4200.00,Y
387937,13474,ARMSTRONG TRANSPORT GROUP INC,4527434-1,,07/27/2026,08/26/2026,34,0.00,2700.00,0.00,0.00,2700.00,Y
388100,1347,ARMSTRONG TRANSPORT GROUP INC,4523503-1,,07/27/2026,08/26/2026,34,0.00,5800.00,0.00,0.00,5800.00,Y
388173,13472,Sam Farms LLC,14708,,07/27/2026,08/26/2026,34,0.00,3400.00,0.00,0.00,3400.00,Y
388365,13473,MEGACORP LOGISTICS,2676599,,07/28/2026,08/27/2026,33,0.00,2050.00,0.00,0.00,2050.00,Y
388620,13481,LARRALDE TRANSPORT COMPANY LLC,3589,,07/28/2026,08/27/2026,33,0.00,3920.00,0.00,0.00,3920.00,Y
388648,13469,Refrigerx Transportation LLC,1012299,,07/28/2026,08/27/2026,33,0.00,3420.00,0.00,0.00,3420.00,Y
388824,13483,Refrigerx Transportation LLC,1012379,,07/29/2026,08/28/2026,32,0.00,2400.00,0.00,0.00,2400.00,Y
