"Debtor","Date","Inv #","PO","Other Ref","Purchase","Escrow Rsv","Cash Rsv","Discount","Fees","Dispatch","Net Adv","Receipts","Sch Fee","ChgBack (Refund)",""
"INTEGRITY EXPRESS LOGISTICS LLC","08/03/2026","13493","3044178","","4,000.00","60.00","0.00","60.00","10.00","0.00","3,870.00","0.00","0.00","0.00",""
"INTEGRITY EXPRESS LOGISTICS LLC","08/03/2026","13492","3044176","","4,000.00","60.00","0.00","60.00","0.00","0.00","3,880.00","0.00","0.00","0.00",""
"ARVI LOGISTICS","08/03/2026","13494","69526","","3,800.00","57.00","0.00","57.00","0.00","0.00","3,686.00","0.00","0.00","0.00",""
"9152-2383 QUEBEC INC","08/03/2026","13497","M-2224","O-1639","7,200.00","108.00","0.00","108.00","0.00","0.00","6,984.00","0.00","0.00","0.00",""
"Sam Farms LLC","08/03/2026","13486","14713","","3,400.00","51.00","0.00","51.00","0.00","0.00","3,298.00","0.00","0.00","0.00",""
"Unlimited Logistics LLC","08/03/2026","13485","338434","","2,039.00","30.59","0.00","30.59","0.00","0.00","1,977.82","0.00","0.00","0.00",""
"Unlimited Logistics LLC","08/03/2026","13484","348693","","1,939.00","29.08","0.00","29.08","0.00","0.00","1,880.84","0.00","0.00","0.00",""
"S E Mares Forwarding Service LLC","08/04/2026","13499","SEM66428","","4,900.00","73.50","0.00","73.50","10.00","0.00","4,743.00","0.00","0.00","0.00",""
"SMARTWAY TRANSPORTATION","08/04/2026","13496","S6653328","","3,000.00","45.00","0.00","45.00","0.00","0.00","2,910.00","0.00","0.00","0.00",""
"Unlimited Logistics LLC","08/04/2026","13500","350237","","3,500.00","52.50","0.00","52.50","0.00","0.00","3,395.00","0.00","0.00","0.00",""
"VALUE LOGISTICS LLC","08/04/2026","13502","1007552-2","","3,800.00","57.00","0.00","57.00","0.00","0.00","3,686.00","0.00","0.00","0.00",""
"S E Mares Forwarding Service LLC","08/07/2026","13504","SMX14556","","4,900.00","73.50","0.00","73.50","10.00","0.00","4,743.00","0.00","0.00","0.00",""
"S E Mares Forwarding Service LLC","08/07/2026","13503","SMX14551","","4,900.00","73.50","0.00","73.50","0.00","0.00","4,753.00","0.00","0.00","0.00",""
"VALUE LOGISTICS LLC","08/07/2026","13507","1008405","","3,900.00","58.50","0.00","58.50","0.00","0.00","3,783.00","0.00","0.00","0.00",""
"TWIN CITIES LOGISTICS I, INC","08/07/2026","13506","681790","","1,200.00","18.00","0.00","18.00","0.00","0.00","1,164.00","0.00","0.00","0.00",""
"VALUE LOGISTICS LLC","08/07/2026","13505","1008091","","3,900.00","58.50","0.00","58.50","0.00","0.00","3,783.00","0.00","0.00","0.00",""
"VALUE LOGISTICS LLC","08/07/2026","13508","1008321","538306","3,800.00","57.00","0.00","57.00","0.00","0.00","3,686.00","0.00","0.00","0.00",""
"ES Logistics","08/10/2026","13509","6840","","4,400.00","66.00","0.00","66.00","0.00","0.00","4,268.00","0.00","0.00","0.00",""
"Refrigerx Transportation LLC","08/11/2026","13510","1012664","","3,800.00","57.00","0.00","57.00","0.00","0.00","3,686.00","0.00","0.00","0.00",""
"Refrigerx Transportation LLC","08/11/2026","13511","1012689","","3,800.00","57.00","0.00","57.00","10.00","0.00","3,676.00","0.00","0.00","0.00",""
"INC ADMIRAL MERCHANTS MOTOR FREIGHT INC","08/14/2026","13231","2603385","","4,700.00","70.50","0.00","70.50","0.00","0.00","4,559.00","0.00","0.00","0.00",""
"DEL-CAN LOGISTICS, LLC.","08/17/2026","13522","38353","","3,500.00","52.50","0.00","52.50","10.00","0.00","3,385.00","0.00","0.00","0.00",""
"Refrigerx Transportation LLC","08/19/2026","13531","1012898-2","","4,300.00","64.50","0.00","64.50","10.00","0.00","4,161.00","0.00","0.00","0.00",""
"BBA Logistics LLC","08/19/2026","13530","129037","","1,500.00","22.50","0.00","22.50","0.00","0.00","1,455.00","0.00","0.00","0.00",""
"Refrigerx Transportation LLC","08/21/2026","13533","1013017","","3,450.00","51.75","0.00","51.75","10.00","0.00","3,336.50","0.00","0.00","0.00",""
"Refrigerx Transportation LLC","08/24/2026","13539","1012900-2","","4,860.00","72.90","0.00","72.90","10.00","0.00","4,704.20","0.00","0.00","0.00",""
