invoice_no,customer_name,po_ref,issue_date,due_date,face_usd,escrow_reserve_usd,discount_fee_usd,wire_fee_usd,net_advance_usd,faro_invoice_id,remit_events
001,REHMANN TRANSPORTATION CORP.,001523174,08/11/2026,09/10/2026,3600.00,54.00,54.00,10.00,3482.00,393839,"08/11/2026 Wire 3,482.00"
002,IMPACT BULK LOGISTICS LLC,4483,08/10/2026,09/09/2026,3000.00,45.00,45.00,0.00,2910.00,393702,"08/10/2026 Wire 2,910.00"
003,NCC LOGISTICS USA INC,138458,08/10/2026,09/09/2026,2500.00,37.50,37.50,10.00,2415.00,393703,"08/10/2026 Wire 2,415.00"
004,"Watco Supply Chain Services, LLC",2239480,08/12/2026,09/11/2026,1700.00,25.50,25.50,10.00,1639.00,394572,"08/12/2026 Faro Internal Transfer 1,649.00 | 08/12/2026 Wire 1,639.00 | 08/12/2026 Faro Internal Transfer 1,649.00"
005,Magna Transport Solutions LLC,130823895,08/13/2026,09/12/2026,2700.00,40.50,40.50,0.00,2619.00,394916,"08/13/2026 Wire 819.00 | 08/13/2026 Faro Internal Transfer 1,800.00"
006,BV LOGISTICS INC,20495,08/13/2026,09/12/2026,2600.00,39.00,39.00,10.00,2512.00,395043,"08/13/2026 Wire 2,512.00"
007,"ITS LOGISTICS, LLC",68747,08/13/2026,09/12/2026,350.00,5.25,5.25,0.00,339.50,395044,08/13/2026 Wire 339.50
008,FLS Transport Inc.,005772267,08/14/2026,09/13/2026,525.00,7.88,7.88,0.00,509.24,395429,08/14/2026 Wire 509.24
011,Sethmar Transportation Inc,477079,08/14/2026,09/13/2026,700.00,10.50,10.50,0.00,679.00,395428,08/14/2026 Wire 679.00
012,CTS XPRESS LLC,0015418,08/14/2026,09/13/2026,4000.00,60.00,60.00,10.00,3870.00,395453,"08/14/2026 Wire 3,182.00 | 08/14/2026 Faro Internal Transfer 688.00"
013,Sethmar Transportation Inc,SEM66465,08/14/2026,09/13/2026,4900.00,73.50,73.50,0.00,4753.00,395430,"08/14/2026 Faro Internal Transfer 4,753.00"
014,CORE LOGISTICS BROKERAGE,31496-65096,08/17/2026,09/16/2026,3500.00,52.50,52.50,0.00,3395.00,396548,"08/17/2026 Wire 3,395.00"
015,DARDINI LLC,154100,08/17/2026,09/16/2026,3600.00,54.00,54.00,10.00,3482.00,396549,"08/17/2026 Wire 3,482.00"
016,MPH CARRIER SERVICES INC,MPHC261334,08/18/2026,09/17/2026,3800.00,57.00,57.00,10.00,3676.00,397034,"08/18/2026 Wire 3,676.00"
017,SAJACKS FREIGHT INC,9020844,08/19/2026,09/18/2026,3100.00,46.50,46.50,0.00,3007.00,397481,"08/19/2026 Wire 3,007.00"
018,DARDINI LLC,154067,08/21/2026,09/20/2026,3900.00,58.50,58.50,0.00,3783.00,398711,"08/21/2026 Wire 3,783.00"
019,J RAYL TRANSPORT INC,251839,08/19/2026,09/18/2026,3500.00,52.50,52.50,10.00,3385.00,397482,"08/19/2026 Wire 3,385.00"
020,"DEL-CAN LOGISTICS, LLC.",38484,08/21/2026,09/20/2026,1000.00,15.00,15.00,0.00,970.00,398489,08/21/2026 Wire 970.00
021,OSTT LOGISTICS LLC,119922,08/24/2026,09/23/2026,3300.00,49.50,49.50,10.00,3191.00,399429,"08/24/2026 Wire 3,191.00"
022,"DEL-CAN LOGISTICS, LLC.",38463,08/21/2026,09/20/2026,3100.00,46.50,46.50,0.00,3007.00,398560,"08/21/2026 Wire 3,007.00"
023,S E Mares Forwarding Service LLC,SEM66495,08/21/2026,09/20/2026,4900.00,73.50,73.50,0.00,4753.00,398488,"08/21/2026 Wire 4,753.00"
024,Prodigee Logistics LLC,29852,08/21/2026,09/20/2026,4000.00,60.00,60.00,10.00,3870.00,398490,"08/21/2026 Wire 3,870.00"
025,Jericho Freight LLC,21148,08/24/2026,09/23/2026,800.00,12.00,12.00,0.00,776.00,399430,08/24/2026 Wire 776.00
027,PFL LOGISTICS LLC,LD88719,08/26/2026,09/25/2026,2500.00,37.50,37.50,10.00,2415.00,400429,"08/26/2026 Wire 2,415.00"
028,Hawkeye Transportation Services,66006,08/26/2026,09/25/2026,600.00,9.00,9.00,0.00,582.00,400428,08/26/2026 Wire 582.00
029,Simple Logistics Solutions,196203,08/28/2026,09/27/2026,4000.00,60.00,60.00,0.00,3880.00,401426,"08/28/2026 Wire 3,880.00"
030,John J Jerue Truck Broker Inc.,20348212,08/28/2026,09/27/2026,4800.00,72.00,72.00,0.00,4656.00,401428,"08/28/2026 Wire 4,656.00"
031,John J Jerue Truck Broker Inc.,20348564,08/28/2026,09/27/2026,1100.00,16.50,16.50,0.00,1067.00,401424,"08/28/2026 Wire 1,067.00"
032,John J Jerue Truck Broker Inc.,20348480,08/28/2026,09/27/2026,4800.00,72.00,72.00,0.00,4656.00,401427,"08/28/2026 Wire 4,656.00"
033,MPH CARRIER SERVICES INC,1000052,08/28/2026,09/27/2026,2300.00,34.50,34.50,10.00,2221.00,401421,"08/28/2026 Wire 2,221.00"
034,R2X LLC,0314828,08/28/2026,09/27/2026,1000.00,15.00,15.00,0.00,970.00,401425,08/28/2026 Wire 970.00
035,S E Mares Forwarding Service LLC,SMX14603,08/28/2026,09/27/2026,4900.00,73.50,73.50,0.00,4753.00,401423,"08/28/2026 Wire 4,753.00"
036,HUMMINGBIRD LOGISTIX LLC,0488,08/28/2026,09/27/2026,4000.00,60.00,60.00,0.00,3880.00,401422,"08/28/2026 Wire 3,880.00"
