pool,at_trailer,vin,at_make,at_year,at_last_date,tms_equipment,actions
at_trailer,10006,1UYVS2537EU760006,UTILITY,2014,2026-07-23 08:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10012,1UYVS2532CM194012,UTILITY,2012,2026-06-04 20:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10106,1UYVS2530DU525106,UTILITY,2013,2025-08-28 07:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
apd_insured,10113,1UYVS2537CU428113,UTILITY,2012,2026-06-29 12:00,USMCA-APD-22,exists as USMCA-APD-22 | ensure mdata.assets + policy attach
apd_insured,10202,1UYVS2539J2280202,UTILITY,2018,2026-08-29 08:00,USMCA-APD-19,exists as USMCA-APD-19 | ensure mdata.assets + policy attach
apd_insured,10209,1UYVS253XJ2159209,UTILITY,2018,2026-08-14 09:00,USMCA-APD-16,exists as USMCA-APD-16 | ensure mdata.assets + policy attach
apd_insured,10215,1UYVS2535J2159215,UTILITY,2018,2026-07-29 07:00,USMCA-APD-32,exists as USMCA-APD-32 | ensure mdata.assets + policy attach
apd_insured,10218,1UYVS2530J2159218,UTILITY,2018,2026-03-19 06:00,USMCA-APD-17,exists as USMCA-APD-17 | ensure mdata.assets + policy attach
at_trailer,10219,1UYVS2532J2159219,UTILITY,2018,2026-08-31 08:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
apd_insured,10222,1UYVS2532J2159222,UTILITY,2018,2026-08-19 10:00,USMCA-APD-33,exists as USMCA-APD-33 | ensure mdata.assets + policy attach
apd_insured,10224,1UYVS2536J2159224,UTILITY,2018,2026-08-31 08:00,USMCA-APD-18,exists as USMCA-APD-18 | ensure mdata.assets + policy attach
at_trailer,10327,1UYVS2538EU857327,UTILITY,2014,2025-12-08 08:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
apd_insured,10380,1UYVS2532FM277380,Utility,2015,2026-09-01 04:00,USMCA-APD-24,exists as USMCA-APD-24 | ensure mdata.assets + policy attach
at_trailer,10425,1UYVS2538EU857425,UTILITY,2014,2025-12-17 18:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
excluded_trailer,10456,1UYVS2530GM762456,UTILITY,2016,2025-03-07 11:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10502,1UYVS2530EU857502,Utility,2014,2025-05-27 09:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10518,1UYVS2531EU830518,UTILITY,2014,2026-06-23 00:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10619,1UYVS2537EU760619,UTILITY,2014,2025-09-05 17:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10672,1UYVS2530FM219672,Utility,2015,2025-10-17 10:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10702,1UYVS2530DU524702,UTILITY,2013,2025-09-01 06:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10723,1UYVS2539DM555723,UTILITY,2013,2025-05-09 07:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10767,1JJV532B7GL965767,WABASH,2016,2025-10-03 14:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10827,1UYVS2539DU524827,UTILITY,2013,2026-01-08 10:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10831,1UYVS2530DU524831,UTILITY,2013,2025-07-28 12:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10837,1UYVS2531DU524837,UTILITY,2013,2025-03-24 05:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,10870,1JJV532B0GL965870,WABASH,2016,2026-08-31 06:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
excluded_trailer,10873,1JJV532B6GL965873,WABASH,2016,2025-10-20 06:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
excluded_trailer,10876,1JJV532B1GL965876,WABASH,2016,2026-08-25 06:00,USMCA-APD-31,exists as USMCA-APD-31 | EXCLUDE from insurance — repo
at_trailer,10898,1UYVS2530DM555898,UTILITY,2013,2025-11-10 11:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,S3500,1GB3W9E71NF156305,Chevrolet,2022,1969-12-31 18:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
at_trailer,FB-5042,1UYFS25329A606203,UTILITY,2009,2025-12-18 16:00,,CREATE mdata.equipment + mdata.assets for insurance if in APD set
apd_insured,FB-5038,1UYFS25399A606201,UTILITY,2009,2026-07-10 19:00,USMCA-APD-23,exists as USMCA-APD-23 | ensure mdata.assets + policy attach
