pool,at_unit,vin,at_make,at_model,at_year,at_status,at_last_date,tms_unit,tms_status,tms_id,clone_count,actions
excluded,T120,1FUJGLBG69LAG2288,Freightliner,Cascadia,2009,Active,2025-12-03 08:00:00,T120,OutOfService,395352db-7b51-4f07-8dc7-f1e2f1a321bc,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance | reactivate
assignable_16,T122,1XPBD49X9FD280862,Peterbilt,579,2015,Active,2025-12-17 18:00:00,T122 (R),OutOfService,c9f6737d-3f0b-4a20-aa7e-5cebc8e48787,0,rename T122 (R) -> T122 | set unit_number=T122 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA | reactivate | status OutOfService->InService
assignable_16,T124,1XPBD49X1FD280905,Peterbilt,579,2015,Active,2023-06-23 08:00:00,124,Sold,ac976d21-c831-4e27-baf0-857c9ee243a2,0,rename 124 -> T124 | set unit_number=T124 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA | reactivate | status Sold->InService
excluded,T139,1M1AN4GY6NM023257,Mack,Pinnacle,2022,Active,2026-07-02 07:00:00,T139,InService,0f7a7dea-958f-46bb-b9ec-06239eb1dab1,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T140,1M1AN4GYXNM023472,Mack,Anthem,2022,Active,2026-01-30 00:00:00,T140,InService,8879fe0d-b75f-4671-aac2-28b55d36110c,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T141,1M1AN4GY8NM023468,Mack,Pinnacle,2022,Active,2025-10-17 07:00:00,T141,InService,ba8f5a3a-04c4-4fe0-813d-73901855e23e,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T143,1M1AN4GY8NM023471,Mack,Anthem,2022,Active,2025-12-20 00:00:00,T143,InService,16c21422-10b3-4996-aa88-a749e045902c,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T144,1M1AN4GYXNM023603,Mack,Anthem,2022,Active,2026-08-03 07:00:00,T144,InService,c83572fc-3a42-4341-9b80-54ef2f15fc8a,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T145,1M1AN4GY6NM023470,Mack,Pinnacle,2022,Active,2025-11-07 16:00:00,T145,Transferred,e29053ae-daa3-4d98-a862-07853470aecb,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance | reactivate
excluded,T146,1M1AN4GY1NM023599,Mack,Pinnacle,2022,Active,2026-02-16 07:00:00,146,Sold,02381b93-7905-4d1c-aab4-536cc6a85d88,0,rename 146 -> T146 | status=OutOfService OR archive | no USMCA assignable | no USMCA insurance | reactivate
assignable_16,T147,1M1AN4GY1NM023604,Mack,Pinnacle,2022,Active,2026-08-07 08:00:00,T147,InService,52542eb1-c2ab-4964-96bf-8376a0437518,0,set unit_number=T147 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T148,1M1AN4GY5NM023606,Mack,Anthem,2022,Active,2026-08-25 06:00:00,T148,InService,ea1b0fe4-1731-49ca-a50a-3363dfc76ae4,0,set unit_number=T148 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T152,1XPBD49X5ND782394,Peterbilt,579,2022,Active,2026-09-01 04:00:00,T152,InService,19d29860-9753-4376-93c4-dc963cc86483,0,set unit_number=T152 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T156,4V4NC9EH3NN605709,Volvo,VNL670,2022,Active,2026-08-31 08:00:00,156-provisional,Sold,a10cd288-f599-4016-a8b4-6d70e33f3925,0,rename 156-provisional -> T156 | set unit_number=T156 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA | reactivate | status Sold->InService
excluded,T158,4V4NC9EH1NN605708,Volvo,VNL670,2022,Active,2025-09-03 06:00:00,T158,InService,eb69505a-f242-4db9-82a7-2b39e0ef2ac6,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T159,1M1AN4GY3NM030263,Mack,Anthem,2022,Active,2026-02-24 18:00:00,T159,InService,ce02aa1c-2a4c-4fd6-8bf3-680b72e58815,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
