Debtor,Date,Inv #,PO,Other Ref,Purchase,Escrow Rsv,Cash Rsv,Discount,Fees,Dispatch,Net Adv,Receipts,Sch Fee,ChgBack (Refund),,Non-purchased
IMPACT BULK LOGISTICS LLC,8/10/26,2,4483,,"$3,000.00",$45.00,$0.00,$45.00,$0.00,$0.00,"$2,910.00",$0.00,$0.00,$0.00,,
NCC LOGISTICS USA INC,8/10/26,3,138458,,"$2,500.00",$0.00,$30.90,$37.50,$10.00,$0.00,"$2,415.00","$2,500.00",$6.60,$0.00,,
1,8/10/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
REHMANN TRANSPORTATION CORP.,8/11/26,1,1523174,,"$3,600.00",$54.00,$0.00,$54.00,$10.00,$0.00,"$3,482.00",$0.00,$0.00,$0.00,,
1,8/11/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
"Watco Supply Chain Services, LLC ",8/12/26,4,2239480,,"$1,700.00",$0.00,$25.50,$25.50,$10.00,$0.00,"$1,639.00","$1,700.00",$0.00,$0.00,,
1,8/12/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Magna Transport Solutions LLC,8/13/26,5,130823895,,"$2,700.00",$40.50,$0.00,$40.50,$0.00,$0.00,"$2,619.00",$0.00,$0.00,$0.00,,
BV LOGISTICS INC,8/13/26,6,20495,,"$2,600.00",$39.00,$0.00,$39.00,$10.00,$0.00,"$2,512.00",$0.00,$0.00,$0.00,,
"ITS LOGISTICS, LLC",8/13/26,7,68747,,$350.00,$0.00,$5.02,$5.25,$0.00,$0.00,$339.50,$350.00,$0.23,$0.00,,
1,8/13/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Sethmar Transportation Inc,8/14/26,11,477079,,$700.00,$0.00,$9.11,$10.50,$0.00,$0.00,$679.00,$700.00,$1.39,$0.00,,
FLS Transport Inc.,8/14/26,8,5772267,,$525.00,$0.00,$7.88,$7.88,$0.00,$0.00,$509.24,$525.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,8/14/26,13,SEM66465,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
CTS XPRESS LLC,8/14/26,12,15418,,"$4,000.00",$60.00,$0.00,$60.00,$10.00,$0.00,"$3,870.00",$0.00,$0.00,$0.00,,
1,8/14/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
CORE LOGISTICS BROKERAGE,8/17/26,14,31496-65096,,"$3,500.00",$52.50,$0.00,$52.50,$0.00,$0.00,"$3,395.00","$3,250.00",$0.00,$0.00,,
DARDINI LLC,8/17/26,15,154100,,"$3,600.00",$54.00,$0.00,$54.00,$10.00,$0.00,"$3,482.00",$0.00,$0.00,$0.00,,
1,8/17/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
MPH CARRIER SERVICES INC,8/18/26,16,MPHC261334,,"$3,800.00",$0.00,$57.00,$57.00,$10.00,$0.00,"$3,676.00","$3,800.00",$0.00,$0.00,,
1,8/18/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
SAJACKS FREIGHT INC,8/19/26,17,9020844,,"$3,100.00",$46.50,$0.00,$46.50,$0.00,$0.00,"$3,007.00",$0.00,$0.00,$0.00,,
J RAYL TRANSPORT INC,8/19/26,19,251839,,"$3,500.00",$52.50,$0.00,$52.50,$10.00,$0.00,"$3,385.00",$0.00,$0.00,$0.00,,
1,8/19/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,8/21/26,23,SEM66495,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
"DEL-CAN LOGISTICS, LLC.",8/21/26,20,38484,,"$1,000.00",$15.00,$0.00,$15.00,$0.00,$0.00,$970.00,$0.00,$0.00,$0.00,,
Prodigee Logistics LLC,8/21/26,24,29852,,"$4,000.00",$60.00,$0.00,$60.00,$10.00,$0.00,"$3,870.00",$0.00,$0.00,$0.00,,
"DEL-CAN LOGISTICS, LLC.",8/21/26,22,38463,,"$3,100.00",$46.50,$0.00,$46.50,$0.00,$0.00,"$3,007.00",$0.00,$0.00,$0.00,,
DARDINI LLC,8/21/26,18,154067,,"$3,900.00",$58.50,$0.00,$58.50,$0.00,$0.00,"$3,783.00",$0.00,$0.00,$0.00,,
1,8/21/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
OSTT LOGISTICS LLC,8/24/26,21,119922,,"$3,300.00",$49.50,$0.00,$49.50,$10.00,$0.00,"$3,191.00",$0.00,$0.00,$0.00,,
Jericho Freight LLC,8/24/26,25,21148,,$800.00,$12.00,$0.00,$12.00,$0.00,$0.00,$776.00,$0.00,$0.00,$0.00,,
1,8/24/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Hawkeye Transportation Services,8/26/26,28,66006,,$600.00,$9.00,$0.00,$9.00,$0.00,$0.00,$582.00,$0.00,$0.00,$0.00,,
PFL LOGISTICS LLC,8/26/26,27,LD88719,,"$2,500.00",$37.50,$0.00,$37.50,$10.00,$0.00,"$2,415.00",$0.00,$0.00,$0.00,,
1,8/26/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
MPH CARRIER SERVICES INC,8/28/26,33,1000052,,"$2,300.00",$34.50,$0.00,$34.50,$10.00,$0.00,"$2,221.00",$0.00,$0.00,$0.00,,
HUMMINGBIRD LOGISTIX LLC,8/28/26,36,488,,"$4,000.00",$60.00,$0.00,$60.00,$0.00,$0.00,"$3,880.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,8/28/26,35,SMX14603,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
JERUE LOGISTICS SOLUTIONS,8/28/26,31,20348564,,"$1,100.00",$16.50,$0.00,$16.50,$0.00,$0.00,"$1,067.00",$0.00,$0.00,$0.00,,
R2X LLC,8/28/26,34,314828,,"$1,000.00",$15.00,$0.00,$15.00,$0.00,$0.00,$970.00,$0.00,$0.00,$0.00,,
Simple Logistics Solutions,8/28/26,29,196203,,"$4,000.00",$60.00,$0.00,$60.00,$0.00,$0.00,"$3,880.00",$0.00,$0.00,$0.00,,
John J Jerue Truck Broker Inc.,8/28/26,32,20348480,,"$4,800.00",$72.00,$0.00,$72.00,$0.00,$0.00,"$4,656.00",$0.00,$0.00,$0.00,,
John J Jerue Truck Broker Inc.,8/28/26,30,20348212,,"$4,800.00",$72.00,$0.00,$72.00,$0.00,$0.00,"$4,656.00",$0.00,$0.00,$0.00,,
1,8/28/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
AB GLOBAL LOGISTICS INC,8/31/26,41,61471,,"$3,500.00",$52.50,$0.00,$52.50,$10.00,$0.00,"$3,385.00",$0.00,$0.00,$0.00,,
BIG G LOGISTICS LLC,8/31/26,39,3965,,"$3,500.00",$52.50,$0.00,$52.50,$0.00,$0.00,"$3,395.00",$0.00,$0.00,$0.00,,
DGL EXPORT INC,8/31/26,40,L-43416,,"$3,900.00",$58.50,$0.00,$58.50,$0.00,$0.00,"$3,783.00",$0.00,$0.00,$0.00,,
"DEL-CAN LOGISTICS, LLC.",8/31/26,38,38642,,"$3,000.00",$45.00,$0.00,$45.00,$0.00,$0.00,"$2,910.00",$0.00,$0.00,$0.00,,
1,8/31/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/1/26,44,1013241,,"$3,450.00",$51.75,$0.00,$51.75,$0.00,$0.00,"$3,346.50",$0.00,$0.00,$0.00,,
SERVICE FIRST LOGISTICS INCORPORATED,9/1/26,42,131252703,,"$3,800.00",$57.00,$0.00,$57.00,$10.00,$0.00,"$3,676.00",$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/1/26,37,4613473-1,,"$3,000.00",$45.00,$0.00,$45.00,$0.00,$0.00,"$2,910.00",$0.00,$0.00,$0.00,,
