inv,date,debtor,po,purchase,escrow_rsv,discount,fees,wire_fee,net_adv,chgback,src
13443,07/17/2026,S E Mares Forwarding Service LLC,SEM66430,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,FARO-IH-35-Transportation-export-17.csv
13449,07/17/2026,REHMANN TRANSPORTATION CORP.,001521702,2950.0,0.0,44.25,0.0,0.0,2861.5,0.0,FARO-IH-35-Transportation-export-17.csv
13450,07/17/2026,INTER LOGIS LLC,5732,2400.0,0.0,36.0,0.0,0.0,2328.0,0.0,FARO-IH-35-Transportation-export-17.csv
13452,07/17/2026,MEGACORP LOGISTICS,2651118,3400.0,0.0,51.0,10.0,10.0,3288.0,0.0,FARO-IH-35-Transportation-export-17.csv
13457,07/17/2026,Somerset Logistics,TNH882312,3700.0,55.5,55.5,10.0,10.0,3579.0,0.0,FARO-IH-35-Transportation-export-17.csv
13451,07/20/2026,Transport Capacity Services LLC,20830,4900.0,0.0,73.5,0.0,0.0,4753.0,0.0,FARO-IH-35-Transportation-export-17.csv
13455,07/20/2026,ES Logistics,ES6814,4400.0,66.0,66.0,0.0,0.0,4268.0,0.0,FARO-IH-35-Transportation-export-17.csv
13456,07/20/2026,SHIPPING CONNECTIONS INC,243009,3200.0,0.0,48.0,0.0,0.0,3104.0,0.0,FARO-IH-35-Transportation-export-17.csv
13458,07/20/2026,PG Global LLC,GLA00168/26,3900.0,58.5,58.5,10.0,10.0,3773.0,0.0,FARO-IH-35-Transportation-export-17.csv
13459,07/20/2026,HUMMINGBIRD LOGISTIX LLC,488,3700.0,0.0,60.0,0.0,0.0,3880.0,0.0,FARO-IH-35-Transportation-export-17.csv
13460,07/20/2026,ARMSTRONG TRANSPORT GROUP INC,4486169-1,3000.0,0.0,45.0,10.0,10.0,2900.0,0.0,FARO-IH-35-Transportation-export-17.csv
13464,07/20/2026,GAB Operations LLC,285533,7500.0,0.0,112.5,0.0,0.0,7275.0,0.0,FARO-IH-35-Transportation-export-17.csv
13461,07/21/2026,REHMANN TRANSPORTATION CORP.,001522145,3200.0,0.0,48.0,0.0,0.0,3104.0,0.0,FARO-IH-35-Transportation-export-17.csv
13465,07/21/2026,ES Logistics,ES-6810,4500.0,67.5,67.5,10.0,10.0,4355.0,0.0,FARO-IH-35-Transportation-export-17.csv
13467,07/22/2026,ARMSTRONG TRANSPORT GROUP INC,4511876-1,3700.0,0.0,55.5,10.0,10.0,3579.0,0.0,FARO-IH-35-Transportation-export-17.csv
13466,07/24/2026,HUMMINGBIRD LOGISTIX LLC,492,4000.0,0.0,60.0,10.0,10.0,3870.0,0.0,FARO-IH-35-Transportation-export-17.csv
13468,07/24/2026,ATN LLC,123660,3000.0,0.0,45.0,0.0,0.0,2910.0,0.0,FARO-IH-35-Transportation-export-17.csv
13470,07/24/2026,REHMANN TRANSPORTATION CORP.,001522329,3200.0,48.0,48.0,0.0,0.0,3104.0,0.0,FARO-IH-35-Transportation-export-17.csv
13471,07/24/2026,TC FREIGHT LLC,130501325,3200.0,0.0,48.0,0.0,0.0,3104.0,0.0,FARO-IH-35-Transportation-export-17.csv
1347,07/27/2026,ARMSTRONG TRANSPORT GROUP INC,4523503-1,5800.0,87.0,87.0,0.0,0.0,5626.0,0.0,FARO-IH-35-Transportation-export-17.csv
13472,07/27/2026,Sam Farms LLC,14708,3400.0,51.0,51.0,0.0,0.0,3298.0,0.0,FARO-IH-35-Transportation-export-17.csv
13474,07/27/2026,ARMSTRONG TRANSPORT GROUP INC,4527434-1,2700.0,0.0,40.5,0.0,0.0,2619.0,0.0,FARO-IH-35-Transportation-export-17.csv
13476,07/27/2026,DH Express Inc.,992,4200.0,63.0,63.0,10.0,10.0,4064.0,0.0,FARO-IH-35-Transportation-export-17.csv
13469,07/28/2026,Refrigerx Transportation LLC,1012299,3420.0,51.3,51.3,10.0,10.0,3307.4,0.0,FARO-IH-35-Transportation-export-17.csv
13473,07/28/2026,MEGACORP LOGISTICS,2676599,2050.0,30.75,30.75,0.0,0.0,1988.5,0.0,FARO-IH-35-Transportation-export-17.csv
13479,07/28/2026,Unlimited Logistics LLC,348916,150.0,0.0,2.25,10.0,10.0,135.5,0.0,FARO-IH-35-Transportation-export-17.csv
13481,07/28/2026,LARRALDE TRANSPORT COMPANY LLC,3589,3920.0,58.8,58.8,0.0,0.0,3802.4,0.0,FARO-IH-35-Transportation-export-17.csv
13477,07/29/2026,Jimenez Logistics LLC,41199,2800.0,0.0,42.0,0.0,0.0,2716.0,0.0,FARO-IH-35-Transportation-export-17.csv
13483,07/29/2026,Refrigerx Transportation LLC,1012379,2400.0,36.0,36.0,10.0,10.0,2318.0,0.0,FARO-IH-35-Transportation-export-17.csv
13488,07/30/2026,"ON A ROLL TRUCKING, INC.",2274549,4200.0,0.0,63.0,0.0,0.0,4074.0,150.0,FARO-IH-35-Transportation-export-17.csv
13478,07/31/2026,INTER LOGIS LLC,38040,2400.0,0.0,36.0,10.0,10.0,2318.0,0.0,FARO-IH-35-Transportation-export-17.csv
13480,07/31/2026,S E Mares Forwarding Service LLC,SMX14509,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,FARO-IH-35-Transportation-export-17.csv
13487,07/31/2026,S E Mares Forwarding Service LLC,SEM66440,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,FARO-IH-35-Transportation-export-17.csv
13489,07/31/2026,BVB EXPRESS LLC,25671,2800.0,42.0,42.0,0.0,0.0,2716.0,0.0,FARO-IH-35-Transportation-export-17.csv
13490,07/31/2026,World Jet Logistics,8475,2500.0,37.5,37.5,0.0,0.0,2425.0,0.0,FARO-IH-35-Transportation-export-17.csv
13491,07/31/2026,GAB Operations LLC,4500246136,5500.0,0.0,82.5,0.0,0.0,5335.0,0.0,FARO-IH-35-Transportation-export-17.csv
13484,08/03/2026,Unlimited Logistics LLC,348693,1939.0,0.0,29.08,0.0,0.0,1880.84,120.0,FARO-IH-35-Transportation-export-17.csv
13485,08/03/2026,Unlimited Logistics LLC,338434,2039.0,0.0,30.59,0.0,0.0,1977.82,120.0,FARO-IH-35-Transportation-export-17.csv
13486,08/03/2026,Sam Farms LLC,14713,3400.0,51.0,51.0,0.0,0.0,3298.0,0.0,FARO-IH-35-Transportation-export-17.csv
13492,08/03/2026,INTEGRITY EXPRESS LOGISTICS LLC,3044176,4000.0,0.0,60.0,0.0,0.0,3880.0,0.0,FARO-IH-35-Transportation-export-17.csv
13493,08/03/2026,INTEGRITY EXPRESS LOGISTICS LLC,3044178,4000.0,0.0,60.0,10.0,10.0,3870.0,0.0,FARO-IH-35-Transportation-export-17.csv
13494,08/03/2026,ARVI LOGISTICS,69526,3800.0,0.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
13497,08/03/2026,9152-2383 QUEBEC INC,M-2224,7200.0,108.0,108.0,0.0,0.0,6984.0,0.0,FARO-IH-35-Transportation-export-17.csv
13496,08/04/2026,SMARTWAY TRANSPORTATION,S6653328,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,FARO-IH-35-Transportation-export-17.csv
13499,08/04/2026,S E Mares Forwarding Service LLC,SEM66428,4900.0,73.5,73.5,10.0,10.0,4743.0,0.0,FARO-IH-35-Transportation-export-17.csv
13500,08/04/2026,Unlimited Logistics LLC,350237,3500.0,52.5,52.5,0.0,0.0,3395.0,0.0,FARO-IH-35-Transportation-export-17.csv
13502,08/04/2026,VALUE LOGISTICS LLC,1007552-2,3800.0,0.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
13503,08/07/2026,S E Mares Forwarding Service LLC,SMX14551,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,FARO-IH-35-Transportation-export-17.csv
13504,08/07/2026,S E Mares Forwarding Service LLC,SMX14556,4900.0,73.5,73.5,10.0,10.0,4743.0,0.0,FARO-IH-35-Transportation-export-17.csv
13505,08/07/2026,VALUE LOGISTICS LLC,1008091,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,FARO-IH-35-Transportation-export-17.csv
13506,08/07/2026,"TWIN CITIES LOGISTICS I, INC",681790,1200.0,18.0,18.0,0.0,0.0,1164.0,0.0,FARO-IH-35-Transportation-export-17.csv
13507,08/07/2026,VALUE LOGISTICS LLC,1008405,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,FARO-IH-35-Transportation-export-17.csv
13508,08/07/2026,VALUE LOGISTICS LLC,1008321,3800.0,57.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
002,08/10/2026,IMPACT BULK LOGISTICS LLC,4483,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,export (11).csv
003,08/10/2026,NCC LOGISTICS USA INC,138458,2500.0,37.5,37.5,10.0,0.0,2415.0,0.0,export (11).csv
13509,08/10/2026,ES Logistics,6840,4400.0,66.0,66.0,0.0,0.0,4268.0,0.0,FARO-IH-35-Transportation-export-17.csv
001,08/11/2026,REHMANN TRANSPORTATION CORP.,001523174,3600.0,54.0,54.0,10.0,0.0,3482.0,0.0,export (11).csv
13510,08/11/2026,Refrigerx Transportation LLC,1012664,3800.0,57.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
13511,08/11/2026,Refrigerx Transportation LLC,1012689,3800.0,57.0,57.0,10.0,10.0,3676.0,0.0,FARO-IH-35-Transportation-export-17.csv
004,08/12/2026,"Watco Supply Chain Services, LLC",2239480,1700.0,25.5,25.5,10.0,0.0,1639.0,0.0,export (11).csv
005,08/13/2026,Magna Transport Solutions LLC,130823895,2700.0,40.5,40.5,0.0,0.0,2619.0,0.0,export (11).csv
006,08/13/2026,BV LOGISTICS INC,20495,2600.0,39.0,39.0,10.0,0.0,2512.0,0.0,export (11).csv
007,08/13/2026,"ITS LOGISTICS, LLC",68747,350.0,5.25,5.25,0.0,0.0,339.5,0.0,export (11).csv
008,08/14/2026,FLS Transport Inc.,005772267,525.0,7.88,7.88,0.0,0.0,509.24,0.0,export (11).csv
011,08/14/2026,Sethmar Transportation Inc,477079,700.0,10.5,10.5,0.0,0.0,679.0,0.0,export (11).csv
012,08/14/2026,CTS XPRESS LLC,0015418,4000.0,60.0,60.0,10.0,0.0,3870.0,0.0,export (11).csv
013,08/14/2026,Sethmar Transportation Inc,SEM66465,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
13231,08/14/2026,INC ADMIRAL MERCHANTS MOTOR FREIGHT INC,2603385,4700.0,0.0,70.5,0.0,0.0,4559.0,0.0,FARO-IH-35-Transportation-export-17.csv
014,08/17/2026,CORE LOGISTICS BROKERAGE,31496-65096,3500.0,52.5,52.5,0.0,0.0,3395.0,0.0,export (11).csv
015,08/17/2026,DARDINI LLC,154100,3600.0,54.0,54.0,10.0,0.0,3482.0,0.0,export (11).csv
13522,08/17/2026,"DEL-CAN LOGISTICS, LLC.",38353,3500.0,52.5,52.5,10.0,10.0,3385.0,0.0,FARO-IH-35-Transportation-export-17.csv
016,08/18/2026,MPH CARRIER SERVICES INC,MPHC261334,3800.0,57.0,57.0,10.0,0.0,3676.0,0.0,export (11).csv
017,08/19/2026,SAJACKS FREIGHT INC,9020844,3100.0,46.5,46.5,0.0,0.0,3007.0,0.0,export (11).csv
019,08/19/2026,J RAYL TRANSPORT INC,251839,3500.0,52.5,52.5,10.0,0.0,3385.0,0.0,export (11).csv
13530,08/19/2026,BBA Logistics LLC,129037,1500.0,22.5,22.5,0.0,0.0,1455.0,0.0,FARO-IH-35-Transportation-export-17.csv
13531,08/19/2026,Refrigerx Transportation LLC,1012898-2,4300.0,64.5,64.5,10.0,10.0,4161.0,0.0,FARO-IH-35-Transportation-export-17.csv
018,08/21/2026,DARDINI LLC,154067,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,export (11).csv
020,08/21/2026,"DEL-CAN LOGISTICS, LLC.",38484,1000.0,15.0,15.0,0.0,0.0,970.0,0.0,export (11).csv
022,08/21/2026,"DEL-CAN LOGISTICS, LLC.",38463,3100.0,46.5,46.5,0.0,0.0,3007.0,0.0,export (11).csv
023,08/21/2026,S E Mares Forwarding Service LLC,SEM66495,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
024,08/21/2026,Prodigee Logistics LLC,29852,4000.0,60.0,60.0,10.0,0.0,3870.0,0.0,export (11).csv
13533,08/21/2026,Refrigerx Transportation LLC,1013017,3450.0,51.75,51.75,10.0,10.0,3336.5,0.0,FARO-IH-35-Transportation-export-17.csv
021,08/24/2026,OSTT LOGISTICS LLC,119922,3300.0,49.5,49.5,10.0,0.0,3191.0,0.0,export (11).csv
025,08/24/2026,Jericho Freight LLC,21148,800.0,12.0,12.0,0.0,0.0,776.0,0.0,export (11).csv
13539,08/24/2026,Refrigerx Transportation LLC,1012900-2,4860.0,72.9,72.9,10.0,10.0,4704.2,0.0,FARO-IH-35-Transportation-export-17.csv
027,08/26/2026,PFL LOGISTICS LLC,LD88719,2500.0,37.5,37.5,10.0,0.0,2415.0,0.0,export (11).csv
