date,count,purchase,net_adv
07/17/2026,5,17350.0,16809.5
07/20/2026,7,30600.0,29953.0
07/21/2026,2,7700.0,7459.0
07/22/2026,1,3700.0,3579.0
07/24/2026,4,13400.0,12988.0
07/27/2026,4,16100.0,15607.0
07/28/2026,4,9540.0,9233.8
07/29/2026,2,5200.0,5034.0
07/30/2026,1,4200.0,4074.0
07/31/2026,6,23000.0,22300.0
08/03/2026,7,26378.0,25576.66
08/04/2026,4,15200.0,14734.0
08/07/2026,6,22600.0,21912.0
08/10/2026,3,9900.0,9593.0
08/11/2026,3,11200.0,10844.0
08/12/2026,1,1700.0,1639.0
08/13/2026,3,5650.0,5470.5
08/14/2026,5,14825.0,14370.24
08/17/2026,3,10600.0,10262.0
08/18/2026,1,3800.0,3676.0
08/19/2026,4,12400.0,12008.0
08/21/2026,6,20350.0,19719.5
08/24/2026,3,8960.0,8671.2
08/26/2026,2,3100.0,2997.0
08/28/2026,8,26900.0,26083.0
08/31/2026,4,13900.0,13473.0
09/01/2026,4,14650.0,14200.5
09/03/2026,6,10800.0,10466.0
09/04/2026,4,17315.0,16785.54
09/08/2026,6,23910.0,23182.7
09/10/2026,2,3100.0,2997.0
09/11/2026,7,33100.0,32097.0
