load/inv,app_advance_id,faro_inv,app_gross,faro_gross,gross_delta,app_advance,faro_advance,advance_delta,status
13508,FAC-2026-00020,13508,2500.0,2500.0,0.0,2425.0,2415.0,10.0,AMOUNT_DIFF
13510,,13510,,3000.0,,,2910.0,,FARO_ONLY (not advanced in app)
13511,FAC-2026-00002,13511,3600.0,3600.0,0.0,3492.0,3482.0,10.0,AMOUNT_DIFF
13512,FAC-2026-00035,13512,1700.0,1700.0,0.0,1649.0,1639.0,10.0,AMOUNT_DIFF
13513,FAC-2026-00036,,525.0,,,509.24,,,APP_ONLY (not in Faro canonical)
13514,FAC-2026-00003,13514,2700.0,2700.0,0.0,2619.0,2619.0,0.0,MATCH
13516,FAC-2026-00004,13516,700.0,700.0,0.0,679.0,679.0,0.0,MATCH
13518,FAC-2026-00005,13518,4000.0,4000.0,0.0,3880.0,3870.0,10.0,AMOUNT_DIFF
13519,FAC-2026-00006,13519,4900.0,4900.0,0.0,4753.0,4753.0,0.0,MATCH
13520,FAC-2026-00037,13520,2600.0,2600.0,0.0,2522.0,2512.0,10.0,AMOUNT_DIFF
13521,FAC-2026-00007,13521,3500.0,3500.0,0.0,3395.0,3395.0,0.0,MATCH
13523,FAC-2026-00008,13523,3600.0,3600.0,0.0,3492.0,3482.0,10.0,AMOUNT_DIFF
13526,FAC-2026-00021,13526,3500.0,3500.0,0.0,3395.0,3385.0,10.0,AMOUNT_DIFF
13528,FAC-2026-00038,13528,3100.0,3100.0,0.0,3007.0,3007.0,0.0,MATCH
13529,FAC-2026-00009,13529,3900.0,3900.0,0.0,3783.0,3783.0,0.0,MATCH
13532,FAC-2026-00039,13532,1000.0,1000.0,0.0,970.0,970.0,0.0,MATCH
13534,FAC-2026-00010,13534,3100.0,3100.0,0.0,3007.0,3007.0,0.0,MATCH
13535,FAC-2026-00040,13535,4900.0,4900.0,0.0,4753.0,4753.0,0.0,MATCH
13536,FAC-2026-00041,13536,4000.0,4000.0,0.0,3880.0,3870.0,10.0,AMOUNT_DIFF
13537,FAC-2026-00049,13537,3300.0,3300.0,0.0,3201.0,3191.0,10.0,AMOUNT_DIFF
13538,FAC-2026-00011,13538,800.0,800.0,0.0,776.0,776.0,0.0,MATCH
13542,FAC-2026-00012,13542,4000.0,4000.0,0.0,3880.0,3880.0,0.0,MATCH
13543,FAC-2026-00042,13543,2500.0,2500.0,0.0,2425.0,2415.0,10.0,AMOUNT_DIFF
13544,FAC-2026-00022,13544,600.0,600.0,0.0,582.0,582.0,0.0,MATCH
13545,FAC-2026-00013,13545,4800.0,4800.0,0.0,4656.0,4656.0,0.0,MATCH
13546,FAC-2026-00014,13546,1100.0,1100.0,0.0,1067.0,1067.0,0.0,MATCH
13547,FAC-2026-00015,13547,4800.0,4800.0,0.0,4656.0,4656.0,0.0,MATCH
13548,FAC-2026-00016,13548,2300.0,2300.0,0.0,2231.0,2221.0,10.0,AMOUNT_DIFF
13549,FAC-2026-00017,13549,1000.0,1000.0,0.0,970.0,970.0,0.0,MATCH
13550,FAC-2026-00018,13550,4900.0,4900.0,0.0,4753.0,4753.0,0.0,MATCH
13551,FAC-2026-00023,13551,3000.0,3000.0,0.0,2910.0,2910.0,0.0,MATCH
13552,FAC-2026-00024,13552,3000.0,3000.0,0.0,2910.0,2910.0,0.0,MATCH
13554,FAC-2026-00019,039,3500.0,3500.0,0.0,3395.0,3395.0,0.0,MATCH
13557,FAC-2026-00025,13557,3900.0,3900.0,0.0,3783.0,3783.0,0.0,MATCH
13558,FAC-2026-00026,13558,3500.0,3500.0,0.0,3395.0,3385.0,10.0,AMOUNT_DIFF
13559,FAC-2026-00027,13559,3800.0,3800.0,0.0,3686.0,3676.0,10.0,AMOUNT_DIFF
13560,FAC-2026-00028,13560,4400.0,4400.0,0.0,4268.0,4268.0,0.0,MATCH
13561,FAC-2026-00029,13561,3450.0,3450.0,0.0,3346.5,3346.5,0.0,MATCH
13562,FAC-2026-00030,13562,1000.0,1000.0,0.0,970.0,970.0,0.0,MATCH
13563,FAC-2026-00043,13563,600.0,600.0,0.0,582.0,582.0,0.0,MATCH
13564,FAC-2026-00044,13564,3000.0,3000.0,0.0,2910.0,2900.0,10.0,AMOUNT_DIFF
13565,FAC-2026-00031,13565,4000.0,4000.0,0.0,3880.0,3880.0,0.0,MATCH
13566,FAC-2026-00032,13566,1100.0,1100.0,0.0,1067.0,1067.0,0.0,MATCH
13567,FAC-2026-00033,13567,2100.0,2100.0,0.0,2037.0,2037.0,0.0,MATCH
13568,FAC-2026-00034,13568,4000.0,4000.0,0.0,3880.0,3870.0,10.0,AMOUNT_DIFF
13569,FAC-2026-00045,13569,3000.0,3000.0,0.0,2910.0,2910.0,0.0,MATCH
13570,FAC-2026-00046,13570,6115.0,6115.0,0.0,5931.54,5931.54,0.0,MATCH
13571,FAC-2026-00047,13571,4900.0,4900.0,0.0,4753.0,4753.0,0.0,MATCH
13573,FAC-2026-00048,13573,2300.0,2300.0,0.0,2231.0,2231.0,0.0,MATCH

(no load ref),FAC-2026-00001,,3000.0,,,2910.0,,,APP_ONLY_UNLINKED
(no load ref),FAC-2026-00050,,350.0,,,339.5,,,APP_ONLY_UNLINKED
(no load ref),FAC-2026-00051,,3800.0,,,3686.0,,,APP_ONLY_UNLINKED
