doc_no,load,category,amount,description
5769,13498,loaded_pay,568.76,"Loaded Miles 1,263.9 @ $0.45 568.76"
5769,13508,loaded_pay,577.80,"Loaded Miles 1,284.0 @ $0.45 577.80"
5769,13508,empty_pay,8.96,Empty Miles 19.9 @ $0.45 8.96
5769,13498,escrow,-25.00,Load 13498 2026-08-12 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5769,13508,escrow,-25.00,Load 13508 2026-08-12 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5769,13508,admin_fee,-10.00,Load 13508 2026-08-12 - Admin fee - GAS -10.00
5770,13503,loaded_pay,947.15,"Loaded Miles 1,894.3 @ $0.50 947.15"
5770,13509,loaded_pay,906.65,"Loaded Miles 1,813.3 @ $0.50 906.65"
5770,13509,empty_pay,53.70,Empty Miles 107.4 @ $0.50 53.70
5770,13503,additional_pay,25.00,Load 13503 Driver Pay-Enlonada 25.00
5770,13503,additional_pay,25.00,Load 13503 Driver Pay-Desenlonada 25.00
5770,13509,additional_pay,25.00,Load 13509 Driver Pay-Enlonada 25.00
5770,13509,additional_pay,25.00,Load 13509 Driver Pay-Desenlonada 25.00
5770,13509,admin_fee,-10.00,Load 13509 2026-08-12 - Admin fee - Gas -10.00
5771,13504,loaded_pay,945.10,"Loaded Miles 1,890.2 @ $0.50 945.10"
5771,13510,loaded_pay,787.40,"Loaded Miles 1,574.8 @ $0.50 787.40"
5771,13510,empty_pay,176.60,Empty Miles 353.2 @ $0.50 176.60
5771,13504,additional_pay,25.00,Load 13504 Driver Pay-Enlonada 25.00
5771,13504,additional_pay,25.00,Load 13504 Driver Pay-Desenlonada 25.00
5771,13510,admin_fee,-10.00,Load 13510 2026-08-12 - Admin fee - Gas -10.00
5772,13502,loaded_pay,485.87,"Loaded Miles 1,079.7 @ $0.45 485.87"
5772,13507,loaded_pay,186.39,Loaded Miles 414.2 @ $0.45 186.39
5772,13507,empty_pay,42.17,Empty Miles 93.7 @ $0.45 42.17
5772,13512,loaded_pay,322.56,Loaded Miles 716.8 @ $0.45 322.56
5772,13512,empty_pay,99.90,Empty Miles 222.0 @ $0.45 99.90
5772,13513,loaded_pay,196.25,Loaded Miles 436.1 @ $0.45 196.25
5772,13513,empty_pay,48.69,Empty Miles 108.2 @ $0.45 48.69
5772,13502,additional_pay,50.00,Load 13502 Driver Pay-Bono por Contratatacion 1/4 50.00
5772,13512,additional_pay,50.00,Load 13512 Driver Pay-Layover-Estancia 8y9 de agosto 50.00
5772,13513,reimbursement,15.25,Load 13513 CAT SCALE Driver Reimbursement-TPE-Scale Expense 15.25
5772,13502,escrow,-25.00,Load 13502 2026-08-13 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5772,13502,cash_advance,-390.00,Load 13502 2026-08-01 - Cash Advance-Check - Cash Advance-Check EFS -390.00
5772,13507,escrow,-25.00,Load 13507 2026-08-13 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5772,13512,escrow,-25.00,Load 13512 2026-08-13 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5772,13513,escrow,-25.00,Load 13513 2026-08-13 - Driver-Escrow For Claims - Driver-Escrow For Claims -25.00
5772,13513,admin_fee,-10.00,Load 13513 2026-08-13 - Admin fee - GAS -10.00
5773,13497,loaded_pay,939.87,"Loaded Miles 2,088.6 @ $0.45 939.87"
