Debtor,Inv,PO/Ref,Payment,Deposit,Date,Pmt Type,Pmt Ref
Client Payable -- Note: Pago Reserva Negativa IH35,,,"2,000.00",,9/21/26,Faro Internal Transfer,Pago Reserva Negativa IH35
"FUZE LOGISTICS SERVICES USA, INC.",85,MTL-624482,"1,067.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
Refrigerx Transportation LLC,84,1013634,"3,589.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
PLS LOGISTICS SERVICES LLC,83,32346062,"4,268.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
Whitehorse Freight,80,290544,"4,268.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
S E Mares Forwarding Service LLC,82,SEM66528,"4,743.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
RLS DISTRIBUTION INC,81,1233617,"4,753.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
S E Mares Forwarding Service LLC,86,SMX14651,"4,753.00",,9/18/26,Wire,USMCA Tank 09/18/2026 
Rsv Deposit -- Note: Deposit to negative reserve IH35,,,,"2,000.00",9/17/26,Wire,USMCA Tank 09/17/2026 
MODE TRANSPORTATION,66,16430047,291,,9/17/26,Wire,USMCA Tank 09/17/2026 
ARMSTRONG TRANSPORT GROUP INC,79,4668962-1,"3,492.00",,9/17/26,Wire,USMCA Tank 09/17/2026 
"SUNTECK TRANSPORT CO., LLC",78,16442687,"3,870.00",,9/17/26,Wire,USMCA Tank 09/17/2026 
Client Payable -- Note: Pago a Reserva Negativa IH35,,,"8,000.00",,9/15/26,Faro Internal Transfer,Pago a Reserva Negativa IH35 09/15/26
Rsv Deposit -- Note: Ajuste reserva negativa ih35,,,,"8,000.00",9/14/26,Wire,USMCA Tank 09/14/2026 
DAFFINSON LOGISTICS LLC,75,14861,"3,152.50",,9/14/26,Wire,USMCA Tank 09/14/2026 
ROAR LOGISTICS INC,72,1650646,"3,589.00",,9/14/26,Wire,USMCA Tank 09/14/2026 
"Key Global Logistics, Inc",70,131527406,"3,996.40",,9/14/26,Wire,USMCA Tank 09/14/2026 
ES Logistics,73,ES6888,"4,268.00",,9/14/26,Wire,USMCA Tank 09/14/2026 
S E Mares Forwarding Service LLC,77,SEM66526,"4,753.00",,9/14/26,Wire,USMCA Tank 09/14/2026 
S E Mares Forwarding Service LLC,76,SEM66525,"4,753.00",,9/14/26,Wire,USMCA Tank 09/14/2026 
AB GLOBAL LOGISTICS INC,71,61620,"5,325.00",,9/14/26,Wire,USMCA Tank 09/14/2026 
MODE TRANSPORTATION,66,16430047,"3,201.00",,9/11/26,Wire,USMCA Tank 09/11/2026 
TRIPLE T TRANSPORT INC,63,42-1269653,"3,201.00",,9/11/26,Wire,USMCA Tank 09/11/2026 
Kirsch Transportation Services Inc.,69,712370,"4,025.50",,9/11/26,Wire,USMCA Tank 09/11/2026 
S E Mares Forwarding Service LLC,64,SEM66514,"4,743.00",,9/11/26,Wire,USMCA Tank 09/11/2026 
S E Mares Forwarding Service LLC,67,SMX14610,"4,753.00",,9/11/26,Wire,USMCA Tank 09/11/2026 
Refrigerx Transportation LLC,68,101333-2,"5,529.00",,9/11/26,Wire,USMCA Tank 09/11/2026 
Hawkeye Transportation Services,65,66304,"6,644.50",,9/11/26,Wire,USMCA Tank 09/11/2026 
Tennessee Steel Haulers LLC,62,2160672,970,,9/10/26,Wire,USMCA Tank 09/10/2026 
DIRECT CONNECT LOGISTIX LLC,61,6492969,"2,027.00",,9/10/26,Wire,USMCA Tank 09/10/2026 
Client Payable -- Note: Pago a IH35 - Reserva Facturas Pagadas directo a ellos Larralde Transport,,,"11,840.00",,9/9/26,Faro Internal Transfer,Pago a IH35 Reserva Negativa - Facturas Larralde Transport pagadas a ellos directamente
Rsv Deposit -- Note: Dinero en HOLD por facuras de Larralde,,,,"11,840.00",9/8/26,Wire,USMCA Tank 09/08/2026 
ES Logistics,57,ES-6883,"2,134.00",,9/8/26,Wire,USMCA Tank 09/08/2026 
ARMSTRONG TRANSPORT GROUP INC,59,4619442-1,"3,385.00",,9/8/26,Wire,USMCA Tank 09/08/2026 
Refrigerx Transportation LLC,58,1013406,"3,589.00",,9/8/26,Wire,USMCA Tank 09/08/2026 
ES Logistics,56,ES6884,"4,268.00",,9/8/26,Wire,USMCA Tank 09/08/2026 
S E Mares Forwarding Service LLC,60,SEM66511,"4,753.00",,9/8/26,Wire,USMCA Tank 09/08/2026 
Refrigerx Transportation LLC,1013272-2,59,"5,053.70",,9/8/26,Wire,USMCA Tank 09/08/2026 
ARMSTRONG TRANSPORT GROUP INC,54,#4636360-1,"2,231.00",,9/4/26,Wire,USMCA Tank 09/04/2026 
AB GLOBAL LOGISTICS INC,50,61461,"3,870.00",,9/4/26,Wire,USMCA Tank 09/04/2026 
S E Mares Forwarding Service LLC,53,SMX14611,"4,753.00",,9/4/26,Wire,USMCA Tank 09/04/2026 
XPR LOGISTICS LLC,52,2501086,"5,931.54",,9/4/26,Wire,USMCA Tank 09/04/2026 
