item_category,item_name,item_type,item_code,description,account_number,account_name,posts_to,mirrors_shortpay_account,source
Sales of Service Income,Line Haul,Service,SALES-OF-SER-LINE-HAUL,Line Haul,4000,Freight / Line-haul Income,revenue,,LIVE QBO COMPANY FILE
,Hours,Service,HOURS,,5100,Driver Pay / Settlements,expense,,LIVE QBO COMPANY FILE
Sales of Service Income,Warehouse-Lumper Fee,Service,SALES-OF-SER-WAREHOUSE-LUMPER-FEE,Warehouse-Lumper Fee,4230,Lumper Income,revenue,,LIVE QBO COMPANY FILE
,Fuel Surcharge,Service,FUEL-SURCHARGE,,4100,Fuel Surcharge Income,expense,,LIVE QBO COMPANY FILE
Sales of Service Income,Layover Charge,Service,SALES-OF-SER-LAYOVER-CHARGE,Layover Charge,4220,Layover Income,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Customer Expense-Product Disposal-Fee,Service,SALES-OF-SER-CUSTOMER-EXPENSE-PRODUCT-DISPOSAL-FEE,Customer Expense-Product Disposal-Fee,4200,Accessorial / Detention Income,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Sales-Transload,Service,SALES-OF-SER-SALES-TRANSLOAD,Sales-Transload,4200,Accessorial / Detention Income,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Extra Delivery-Pick/Drop,Service,SALES-OF-SER-EXTRA-DELIVERY-PICK-DROP,Extra Delivery-Pick/Drop,4200,Accessorial / Detention Income,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Sales-Detention Charge,Service,SALES-OF-SER-SALES-DETENTION-CHARGE,Sales-Detention Charge,4210,Detention Income,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Deduction-For Damaged Product,Service,SALES-OF-SER-DEDUCTION-FOR-DAMAGED-PRODUCT,Deduction-For Damaged Product,4930,Short-Pay — OS&D deducted from freight invoice,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Customer Pmt-Fuel Advance,NonInventory,SALES-OF-SER-CUSTOMER-PMT-FUEL-ADVANCE,Customer Pmt-Fuel Advance,4200,Accessorial / Detention Income,revenue,,LIVE QBO COMPANY FILE
Driver Salaries,Driver Pay-Extra Pick/Delivery-Drop,Service,DRIVER-SALAR-DRIVER-PAY-EXTRA-PICK-DELIVERY-DROP,,5100,Driver Pay / Settlements,expense,,LIVE QBO COMPANY FILE
Sales of Service Income,Deduction-Charge for Damages,Service,SALES-OF-SER-DEDUCTION-CHARGE-FOR-DAMAGES,11478     Damages,4930,Short-Pay — OS&D deducted from freight invoice,revenue,,LIVE QBO COMPANY FILE
Sales of Service Income,Sales-Permit Fee Expense,Service,SALES-OF-SER-SALES-PERMIT-FEE-EXPENSE,Sales-Permit Fee Expense,4200,Accessorial / Detention Income,revenue,,LIVE QBO COMPANY FILE
"Operational Licenses, Permits & Taxes",Oversize Permit,Service,OPERATIONAL-OVERSIZE-PERMIT,,5700,Permits & Licenses (IFTA/IRP/DOT),expense,,LIVE QBO COMPANY FILE
Driver Salaries,Driver Pay-Mexico-B1 Driver-Empty Miles,Service,DRIVER-SALAR-DRIVER-PAY-MEXICO-B1-DRIVER-EMPTY-MILES,,5100,Driver Pay / Settlements,expense,,LIVE QBO COMPANY FILE
Driver Salaries,Driver Pay-Mexico-B1 Driver-Loaded Miles,Service,DRIVER-SALAR-DRIVER-PAY-MEXICO-B1-DRIVER-LOADED-MILES,,5100,Driver Pay / Settlements,expense,,LIVE QBO COMPANY FILE
